fen,phase,eco
7k/Q1P3r1/1p3p1p/4pP1B/1P6/P4P2/4KP2/8 b - - 0 50,middlegame,
8/5k2/5p2/p2p1P1p/P2P1b1P/5K2/8/8 w - - 0 65,endgame,
r1bqkb1r/ppp2ppp/2n2n2/3p4/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,D35
8/8/8/5k2/1R6/1P1P4/2KB1r2/8 b - - 0 47,middlegame,
R7/5pk1/1b5p/5p2/pr4PK/8/7P/8 w - - 0 43,middlegame,
1b1r2k1/5p2/4p3/pp4P1/8/1r3N2/4B1K1/4R3 w - - 0 40,middlegame,
4r1r1/5b2/p3p2k/3p2R1/3P3P/1PP5/P2NN3/5RK1 w - - 1 38,middlegame,
4rr1k/p1p3pp/2p1b3/3p1p2/qB3P2/P2B4/3N2PP/Q6K w - - 0 26,middlegame,
8/8/6pk/p1p4p/8/1P3P2/P5K1/8 w - - 0 51,endgame,
rnbqk1nr/ppppppbp/6p1/8/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 1 3,opening,A04
rnbqkbnr/pp4pp/4pp2/2ppP3/5P2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 5,opening,B23
2r2rk1/p4pp1/7q/3B4/4PP2/1PbQ2PK/P6P/1R3R2 w - - 1 26,middlegame,
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,C00
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/8/PPPNPPPP/R2QKBNR w KQkq - 2 4,opening,A45
r3rk2/1pp2p2/p2p1bq1/3N4/8/5N2/PP4PQ/K2R3n w - - 0 30,middlegame,
8/4k3/6K1/4R3/8/3r4/8/8 b - - 0 41,endgame,
4rr1k/p4ppp/5n2/3p1P2/3p3Q/4q1N1/PPP3bP/6RK w - - 0 24,middlegame,
8/1p3p1k/p1p1r2P/3rP3/6R1/P1B1Q2P/1P4P1/5K2 w - - 1 36,middlegame,
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/P1N5/1P2PPPP/R2QKBNR w KQkq - 0 6,opening,D53
8/5pkp/5bp1/3r4/p4R2/8/5PK1/1B6 w - - 0 41,middlegame,
N5nr/R6p/bp2kPp1/8/8/P1B5/1P4PP/4K2R b K - 0 24,middlegame,
6k1/pq3ppp/1p2p3/8/2Pr1Q2/1P4PK/r6P/5R2 w - - 0 30,middlegame,
6k1/pp1b4/8/3p4/3PqB2/5N1P/PP4K1/R4R2 b - - 0 31,middlegame,
8/p3k1p1/5b1p/1p6/2p2B1P/1qP2KP1/8/8 w - - 2 45,middlegame,
4b3/4rk2/5q2/Q4p1p/2PR1P2/4P3/P5PP/K7 b - - 0 35,middlegame,
2k4r/p7/P1p3p1/1p3p2/1PbQp3/2P3P1/3K1P2/3q4 w - - 0 40,middlegame,
8/1p5p/1k1P4/pN3b2/8/4P3/2P2PPP/2K5 w - - 1 33,middlegame,
r1b4k/ppp2n1p/2np2p1/8/3p2Pb/2P1P2P/PP1B2K1/R4N2 w - - 0 23,middlegame,
8/5bp1/p2k3p/4p3/3p4/P3r3/1K1R2PP/8 w - - 0 40,middlegame,
r4rk1/2qQ4/5p1p/PK1P1P2/4p3/6b1/8/8 w - - 0 56,middlegame,
8/1b6/p6p/k5pP/2p3P1/4KP2/2B5/8 b - - 1 44,endgame,
rnbqkb1r/1p1p1ppp/p3pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 6,opening,A32
r1bqkbnr/ppp2ppp/2np4/4p3/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,opening,A01
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,opening,C44
8/8/2p5/1b5p/pKp5/P4k2/1P5P/4B3 w - - 0 45,endgame,
r2qkb1r/pppb1ppp/2np1n2/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 1 6,opening,C62
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP1B2/5N2/PPQ1PPPP/RN2KB1R w KQkq - 2 6,opening,D10
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 6,opening,E91
8/p7/2k5/8/8/P4P1P/8/7K b - - 0 41,endgame,
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,C56
rnbqk1nr/pp2ppbp/2p3p1/3p4/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,opening,B06
r1bqkb1r/pp1ppppp/2n2n2/8/4P3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 1 6,opening,B21
8/p4p1p/6k1/8/2p2BP1/3K1n2/P7/8 w - - 0 43,endgame,
4kbnr/2pp1pp1/1p2p3/p3Pn2/2P5/1PN1BP1p/P4KbP/R5N1 w k - 2 19,middlegame,
5rk1/p4pbp/2b1p1p1/8/5q2/2nB2N1/P5PP/1R3Q1K w - - 0 26,middlegame,
5rk1/4Qpbp/6p1/3qP3/2bP4/4B1N1/Pr3PPP/R3R1K1 b - - 0 19,middlegame,
2Rbk3/pp1n1pp1/3np1p1/PN6/3P4/r7/1PK2P1P/8 w - - 0 26,middlegame,
rnbqkb1r/pp1p1ppp/4p3/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,opening,B40
r2q1rk1/1pp3pp/p7/2bbP3/3P1p2/2B4P/PP1n1P1K/5R1R w - - 0 25,middlegame,
3q2k1/pp6/n1p3p1/3p4/3PrQn1/P7/1P6/1KR4R w - - 2 31,middlegame,
6k1/pp3pp1/5qbp/8/3bn3/5N2/2Q2PPP/3R2K1 w - - 0 31,middlegame,
8/p3k1p1/1p1bP3/5P2/n3K3/7p/7P/8 w - - 0 48,endgame,
r3kbnr/1p1q2pp/p1p1P3/3p1p2/3N4/8/PB2Q1PP/R4RK1 b kq - 0 17,middlegame,
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 0 4,opening,B23
rnbqkb1r/pp2pppp/8/3n4/8/5N2/PP1P1PPP/RNBQKB1R w KQkq - 0 6,opening,B10
rnb1k1nr/ppp2ppp/4p3/3q4/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 3 6,opening,C10
4r1k1/5p1p/Q1nb1p2/8/P5B1/2N1q3/1P4PP/2KR2NR w - - 1 21,middlegame,
rnq1kbnr/pppbpppp/3p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 4,opening,A10
rnbqkb1r/pppppp1p/8/6p1/3PnB2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,opening,A45
8/p7/1p6/2p5/2Kb4/1P6/P5k1/5q2 w - - 0 49,middlegame,
1r1r2k1/5p1p/3bpqp1/1B6/P2P1B2/3Q3P/1P3PP1/2R1R1K1 b - - 0 28,middlegame,
6k1/5p2/5Ppp/p3p3/6q1/6KP/P7/8 w - - 0 62,middlegame,
r4k2/pp1qp1B1/n1pp1nB1/3P3Q/1PP5/P7/5PPP/1N3RK1 b - - 0 20,middlegame,
7k/p2B1pp1/5q2/2pP4/2Pb1R2/1P2r1P1/P1Q4P/5R1K w - - 1 30,middlegame,
8/1p1k3p/p5p1/B5P1/4K2P/1P6/7b/8 b - - 0 41,endgame,
3r1k2/5p2/5P1p/R1p1PBpP/2P5/P7/6P1/6K1 w - - 1 35,middlegame,
2r2rk1/1p4p1/p3p1b1/4PpQp/4pP2/4P2R/q4B1P/4R1K1 b - - 1 25,middlegame,
8/p4K2/p6k/5q1P/8/8/1b6/8 w - - 0 52,middlegame,
rnb1kb1r/ppq1pp1p/5np1/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 6,opening,B02
1k5r/ppq3p1/2p2n2/7b/7P/NNPB3P/P1P2P2/2K1R2R b - - 0 26,middlegame,
r4rk1/5p2/p1NPbq1p/1p4p1/4P3/1PN4P/1PP2PP1/R4QK1 b - - 0 20,middlegame,
r1bqkbnr/pp1n1ppp/4p3/2PpP3/8/4B3/PPP2PPP/RN1QKBNR w KQkq - 2 6,opening,B12
r3k2r/pp3ppp/2nbp3/2pQ4/5Pbq/3PB3/PPP2R2/RN2K3 w Qkq - 0 15,middlegame,
r1bqkb1r/pp1pnp1p/2n1p1p1/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq - 0 6,opening,B24
8/1p6/1kp5/6p1/KbB5/6r1/2R5/8 b - - 1 48,middlegame,
r2r2k1/5ppp/p4q2/2pRb3/2p5/2P4P/5PP1/3QR1K1 w - - 0 31,middlegame,
r3k2r/5pp1/2p1p1pn/3NP3/PpnP2PP/3R1BB1/PqP2P2/3KQ2R b kq - 0 26,middlegame,
8/8/4k1p1/4Bp1p/1PR2K2/2P4P/6P1/8 b - - 0 52,middlegame,
5rk1/5r2/p5qp/3R2p1/PP1Pp3/4P1Q1/5PPP/5RK1 w - - 1 32,middlegame,
B6N/5Q2/8/8/1k6/8/6K1/8 w - - 1 83,middlegame,
1r5k/p1p3bp/3p2P1/3B4/5P1q/1P1P3P/P1P3K1/2BR4 b - - 0 25,middlegame,
