fen,phase,eco
8/p1Q3rk/2P3p1/3p4/1B1PpP1r/4P3/7P/1RR3K1 w - - 1 38,middlegame,
r4r2/5pkp/p4bp1/Pp1p1q2/1P3p2/2P2Q2/5PPP/2R3K1 b - - 1 26,middlegame,
2R5/5pkp/6p1/4n3/8/7P/6K1/8 b - - 0 40,endgame,
6rk/pp4r1/3pRQ2/2pP3P/2P5/8/PP3PP1/2K5 w - - 1 31,middlegame,
4nrk1/p2q1Rpp/1p6/3pP3/6P1/2PB3P/PP2Q1P1/4R1K1 b - - 0 26,middlegame,
5n1k/7p/8/5K2/1q3p1P/3r2P1/8/8 w - - 0 51,middlegame,
rnbqkb1r/ppp2ppp/1n1p4/8/3P4/6P1/PPP2P1P/RNBQKBNR w KQkq - 0 6,opening,B03
rq2brk1/2R1Qp2/4p2p/p2pP3/N4P2/1P2P1P1/P6P/1BR3K1 b - - 2 30,middlegame,
4r2k/7q/p3NR2/1p4PQ/2p4P/8/PPP5/2K5 w - - 1 41,middlegame,
2k5/pp3p2/1qp5/4pn2/2P1P1K1/2N4n/PPr4P/8 w - - 2 33,middlegame,
rnbqk2r/ppp1ppbp/5np1/3p4/3P4/4PN2/PPP1BPPP/RNBQK2R w KQkq - 0 5,opening,A45
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/5NP1/PPPP1PBP/RNBQK2R w KQkq - 3 5,opening,B50
rn1qkbnr/pbpp1ppp/1p2p3/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 1 4,opening,A13
6k1/4R1np/p2r4/1p1r4/1Pp5/3p3P/3P4/4R1K1 w - - 0 36,middlegame,
r1bqkbnr/1p1p1ppp/p3p3/2p1n3/4P3/1BNP4/PPP2PPP/R1BQK1NR w KQkq - 0 6,opening,B25
rnbqkbnr/pppp2pp/8/4pp2/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3,opening,A20
r4rk1/ppp3pp/3p1q2/1P2n3/2nN4/P1B5/R4PbP/3QR1K1 w - - 0 20,middlegame,
8/p1p3kp/2p3b1/5p2/8/7P/PP3nPK/R3r3 w - - 0 28,middlegame,
rn2kbnr/ppp2ppp/6b1/8/3pP1P1/2PP3q/PP1KN3/R1BQ1R2 b kq - 0 13,middlegame,
r1bqkb2/p1p1pp1p/1pn2B2/3p4/8/1P6/P1PPPPPP/RN1QKBNR b KQq - 0 5,middlegame,
rnbqkbnr/ppp3pp/8/3pp3/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,C41
r7/3k2pp/1pn1pp2/8/3P4/b1P1B3/1p1N1PPP/1b1K4 w - - 0 24,middlegame,
6k1/4pp2/7p/5p2/3B4/6P1/1R2PP1P/1R4K1 b - - 1 26,middlegame,
8/5Np1/3k3p/p7/Pb1K4/7P/5PP1/8 b - - 0 42,endgame,
r7/2k5/4p3/3pP1r1/1PpP1PB1/4b2P/1P2Q3/qK3R1R w - - 1 40,middlegame,
1r4k1/2Qn1pp1/1p5p/1q6/8/7P/5PPK/8 b - - 1 32,middlegame,
8/6pk/7p/8/2n5/2K3PP/5P2/8 w - - 0 38,endgame,
2r3k1/2r1b1pp/p2p4/1p1P4/4Np2/1P6/P4P2/4R1K1 w - - 0 29,middlegame,
2kr4/ppp2ppp/8/r7/2R3P1/qP1p3P/3N2B1/1K5R w - - 1 26,middlegame,
r1b5/pp2nkb1/6pp/q2p4/5P2/3nB3/P5PP/1R1Q1R1K w - - 0 21,middlegame,
rnbqk1nr/pp2bppp/2pp4/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,opening,C41
7k/1b2p2p/p7/3Pp3/4P3/P2p4/5K2/2q2R2 b - - 1 45,middlegame,
8/6k1/1r6/R7/2P1PK2/7p/8/8 w - - 1 46,endgame,
r3k3/p5pp/3Ppp2/1PN2b2/2P5/P7/3R1PPP/4R1K1 w - - 0 32,middlegame,
rnb1kbnr/1p1p1ppp/2p2q2/p3p3/1PP1P3/P7/3P1PPP/RNBQKBNR w KQkq - 0 5,opening,B10
8/4r2p/7k/3BpP2/8/5K1P/5P2/8 b - - 0 43,endgame,
2kr1b1r/ppp1pppp/5n2/6q1/8/N1P3P1/PP2Q2P/R3K2R w KQ - 0 14,middlegame,
r1bqkbnr/pp2pppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,opening,B51
4r3/1Pk5/6p1/8/4K1P1/4P3/1R5P/8 w - - 1 49,middlegame,
rn1qkbnr/ppp3pp/3p4/4pb2/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 5,opening,C30
r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/1P6/PB1PPPPP/RN1QKBNR w KQkq - 0 4,opening,A30
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,opening,E21
4r1k1/5ppp/1R2p3/3p4/3PnB2/2rNPNPP/5PB1/1R4K1 w - - 1 25,middlegame,
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/4PN1P/PPP2PP1/RN1QKB1R w KQ - 1 6,opening,A48
rnbqkbnr/pp4pp/2p1p3/3p1p2/5P2/4PN2/PPPPB1PP/RNBQK2R w KQkq - 0 5,opening,A03
5rk1/5pp1/7p/R7/1P6/2rBN1PP/P4P2/6K1 b - - 0 35,middlegame,
6k1/R6p/8/2p3p1/2rpKp2/8/P5P1/8 b - - 1 43,middlegame,
r7/5kp1/4R2p/1K3P1P/p5P1/P1P5/1P6/8 b - - 0 44,middlegame,
3R4/5pkp/2b3p1/4N3/3p4/7P/6rK/8 w - - 0 41,middlegame,
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 0 4,opening,A45
rn1qkbnr/p1pppppp/bp6/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,opening,A40
2r3k1/4pp1p/p3b1p1/1p6/2q2Bn1/P5QP/1b3PP1/3R1RK1 b - - 0 25,middlegame,
8/4B3/1R6/1p2K3/1P6/k4Q2/8/8 b - - 2 50,middlegame,
rnbqk2r/ppp1bppp/4pn2/3p4/3P1B2/P1N5/1PP1PPPP/R2QKBNR w KQkq - 1 5,opening,D00
r1bqkbnr/pppppppp/2n5/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,opening,A04
rnbqk1nr/ppp1ppbp/6p1/8/4N3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 5,opening,A06
3rrnk1/pp3pp1/2q2b1p/4p3/2b5/1PN2P1N/P3Q1P1/2K3RR w - - 0 25,middlegame,
2b3R1/5pk1/p5r1/1pN5/3p3p/6P1/PPP2PBP/4R1K1 b - - 0 28,middlegame,
rnbqkb1r/pp2pppp/5n2/2p5/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 5,opening,B01
r2qkbnr/ppp3pp/2npp3/4p3/4PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 6,opening,C30
r1bqr1k1/ppP2pbp/2n3p1/8/2P2P2/2N2N2/PP2BPPP/R2QK2R b KQ - 0 11,middlegame,
5r2/3P1pkr/p1N2Q2/7p/1P4p1/P6P/6P1/3R1R1K b - - 0 41,middlegame,
rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/8/PPP1NPPP/R1BQKBNR w KQkq - 0 6,opening,C11
3k4/1p5p/p1p2n2/8/2P5/1PK2PP1/P6P/8 b - - 0 31,endgame,
r4k2/pp3pp1/2p5/3p4/6p1/1P4P1/P4PKP/2R1r3 w - - 0 25,middlegame,
8/2r2pkp/6p1/6P1/5P2/2bK4/1p6/1R6 w - - 1 51,middlegame,
8/8/8/6p1/Pk1p2r1/8/2KR4/8 w - - 0 59,endgame,
4b1k1/1p3ppp/3Kp3/p7/P2N2P1/1P5P/8/5n2 w - - 2 30,middlegame,
1r5k/6q1/3P2pn/4R3/4P1Pp/2Q4P/PrP5/K5R1 w - - 1 30,middlegame,
2k1r1r1/1b6/2pB4/1pPn4/1n4Q1/3P2P1/4P1BP/1R3R1K b - - 0 37,middlegame,
r3k2r/ppp2p1p/3b1p2/5b2/2Pqp3/6P1/P2N2BP/1R1Q1R1K b kq - 1 17,middlegame,
r4rk1/ppR1pp1p/6p1/4nb2/1q6/4P2P/4BPP1/3Q1RK1 b - - 1 19,middlegame,
rnbq1rk1/ppp1bppp/4pn2/3p4/8/1PN3P1/PBPPPPBP/R2QK1NR w KQ - 0 6,opening,A01
2qN1rk1/7p/4p1p1/Q7/p2P4/4P3/P4PPP/2R3K1 w - - 1 34,middlegame,
8/5pb1/2k3p1/2B4p/1P6/6P1/4K2P/8 w - - 1 37,endgame,
8/4k3/p4p2/1Pp2bpB/8/8/1P4K1/8 b - - 0 43,endgame,
7k/5pr1/4p3/3bbp1p/8/3R2P1/1R5P/5K2 w - - 1 38,middlegame,
rnbqk2r/ppp1bppp/4pn2/6B1/2pP4/2N1P3/PP3PPP/R2QKBNR w KQkq - 1 6,opening,D50
8/4nk2/5p2/4p1p1/3pP1P1/3P4/1K6/8 b - - 0 50,endgame,
r1bqkbnr/pp1ppppp/2n5/8/2Pp4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,opening,A43
2k5/1Q6/8/4pP2/2P5/PK3P2/5N2/6q1 b - - 0 49,middlegame,
3r4/1p1bbkpp/1p3p2/P1p1p3/8/2BrN3/5PPP/2R2RK1 w - - 0 25,middlegame,
4r2k/pQ4pp/2p1r3/P7/3q4/4p3/1P4nP/4R1RK w - - 0 33,middlegame,
rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQ - 4 5,opening,A15
r3kb2/ppp1p3/1n3pp1/3Pp2r/2P5/2Q5/P4PP1/R4RK1 w q - 0 18,middlegame,
8/5k2/p3p2p/4K3/2q3P1/8/8/8 b - - 1 38,endgame,
8/5p2/4p2p/pR2Pkp1/8/4r2P/6K1/8 w - - 0 37,middlegame,
r3k3/ppp2pp1/2n5/4p3/4p1n1/P1P3q1/PB1P4/R1NK1R2 b q - 1 18,middlegame,
r1bqk2r/1ppp1ppp/p1n2n2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 0 6,opening,C64
r1bqkbnr/pp3ppp/n2p4/2pP4/4P3/8/PP3PPP/RNBQKBNR w KQkq - 1 6,opening,A43
8/2r1k1p1/P6p/1P6/3R4/2PK1P2/6PP/8 b - - 0 38,middlegame,
4rrk1/1pp2ppn/p2p4/7R/4bN2/2N5/PPP5/1K4Q1 w - - 0 21,middlegame,
6k1/7p/3p3P/4p1pR/2bn4/2r1KPP1/r7/6N1 w - - 0 37,middlegame,
3q1k1r/5nb1/3p1p1p/p2Np1p1/4P1P1/p2BNP2/1r1B4/K1R4R b - - 1 29,middlegame,
rnbqkbnr/1pppppp1/p7/8/3PP2p/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,B00
r5k1/p4p2/5p1p/4p3/3pPn2/P2P4/1B4KN/2Rb4 w - - 0 28,middlegame,
r3kbnr/ppp1pppp/2n5/3q4/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 5,opening,B00
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2P5/1P1P1N2/PB2PPPP/RN1QKB1R w KQkq - 0 6,opening,A12
8/2p4p/p3kB1P/8/1P4K1/8/8/8 b - - 0 55,endgame,
rn1qkbnr/pbpp1ppp/1p6/8/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq - 1 5,opening,C34
r1bqr1k1/pp1n1pp1/2p1p2p/2P5/3b4/2NB2P1/PPQ3KP/R4R2 w - - 0 21,middlegame,
8/P4p1p/4k1p1/3pP3/3B4/4P3/5PPP/6K1 w - - 1 37,endgame,
rn1qkb1r/ppp2ppp/4pnb1/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 0 6,opening,D04
r4rk1/1b3ppp/5qn1/1B1P4/8/1P1P1N2/5PPP/R2Q1RK1 b - - 0 19,middlegame,
2kr3r/pp3ppp/4pn2/8/5B1P/P1b2P2/1P2KPB1/n6R w - - 0 17,middlegame,
rnbqk2r/ppp2ppp/3b1n2/3P4/5p2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 3 6,opening,C36
8/2pr2p1/1pk2p1p/p7/8/7P/P1Pn1BP1/2K5 w - - 0 46,middlegame,
4k2r/1p3pp1/2n1p2p/1N1p3n/2p2R2/4P1q1/2PPB3/BQ5K w k - 0 22,middlegame,
3r2k1/2R2p1p/1p1qp1p1/p7/3b4/6P1/5P1P/2QR2K1 w - - 0 32,middlegame,
r1b1kb1r/ppp3pp/2n2n2/1Q6/4p3/8/PqPB1PPP/RN2K2R w KQkq - 0 13,middlegame,
8/4Q2p/p1pp2pk/6r1/8/7P/P3RqPK/4r3 w - - 0 32,middlegame,
1k1r3r/ppp1pp1p/6p1/1Nn4q/2P1pPb1/2N1Q3/PP5P/2KR3R w - - 0 19,middlegame,
8/6k1/2pn2p1/8/R7/P1P2P2/1P3P1K/8 b - - 0 44,middlegame,
rnbqk1nr/pp2ppbp/2pp2p1/8/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,opening,A41
r1bqkb1r/p3pppp/1pn2n2/2pp4/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq - 0 6,opening,A06
r1b1k1nr/ppp2ppp/8/4p3/2P1q3/2bB1n2/PP3PPP/R1BQ1RK1 w kq - 0 10,middlegame,
rnbqkb1r/pp4pp/2p1pn2/3pNp2/2PP4/2N5/PP2PPPP/R1BQKB1R w KQkq - 2 6,opening,D02
r4rk1/4pp2/p5pQ/3R4/1p2q3/7P/PPP5/1K1b4 w - - 0 26,middlegame,
7R/1p3k2/2b2n2/2P5/2R1Pq2/3P3P/7N/7K w - - 1 33,middlegame,
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,opening,B50
5k2/3p2p1/bNpP4/p1P2p1r/4RB2/6Pp/PP3P1P/2R3K1 b - - 0 29,middlegame,
rnbqkb1r/ppp3pp/5n2/3p1P2/4p3/3P1N2/PPP1QPPP/RNB1KB1R w KQkq - 1 6,opening,C40
6k1/7p/6p1/2pp4/8/2NP4/r6r/1R5K w - - 2 35,middlegame,
r2qk2r/p4pp1/1p2pnn1/2p5/4bP1p/1P4P1/P1P1N1BP/1Q3RK1 w kq - 0 17,middlegame,
1rB5/1P6/8/4k3/3p3R/5K1P/6P1/8 b - - 0 63,middlegame,
8/2r1k2p/p5pP/2PB4/R7/4P1P1/3P4/4K3 w - - 1 40,middlegame,
8/6kb/4p3/3p3p/3r1PpP/7K/8/8 w - - 0 52,middlegame,
1r3k1r/6b1/ppB1p1Q1/2qP3p/5PnP/2N3P1/PP4K1/R1B2R2 b - - 2 23,middlegame,
8/3k1pp1/7p/1pppP3/6P1/1N2K2P/8/8 b - - 1 38,endgame,
rnbqkb1r/pppp1ppp/5n2/8/4P3/5N2/PB3PPP/RN1QKB1R w KQkq - 1 6,opening,C21
5rk1/p4p2/3qp1p1/1p4Q1/3P4/6p1/1P5P/5RK1 w - - 0 36,middlegame,
rnbqkb1r/pp2pp1p/5np1/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,B13
8/6kp/8/5p2/8/6PK/7P/8 w - - 0 60,endgame,
8/4k1p1/2b1p2p/p7/3P1PP1/2K5/8/4N3 w - - 1 57,endgame,
rnbqk1nr/pp2ppbp/3p2p1/2pP4/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,opening,A43
rn2r1k1/pp2q3/4b2Q/2p1P3/2P5/2PB2P1/P5PP/R4RK1 w - - 1 21,middlegame,
rnbqkb1r/ppp3pp/5n2/3ppP2/8/2NP4/PPP2PPP/R1BQKBNR w KQkq - 1 5,opening,C27
rnQ5/ppp1qkbp/6p1/3p4/4nP2/1P2P3/PBPP2PP/RN2KB1R w KQ - 1 11,middlegame,
r1bqk2r/ppp1bppp/2np1n2/1B2p3/4P3/2P2N2/PP1PQPPP/RNB1K2R w KQkq - 2 6,opening,C44
6R1/p7/8/2KP1k2/r4p2/8/8/8 w - - 0 45,endgame,
2r3k1/1R5N/2n1pbpp/4P3/3p4/8/7P/6K1 w - - 0 41,middlegame,
8/5pk1/3r2p1/7p/5PP1/7K/7P/8 b - - 0 44,endgame,
rnbqk2r/pppp1pp1/5n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,C24
8/5p1p/2k5/1p2BP1P/pp6/3P3P/P6K/8 w - - 0 42,endgame,
3r4/1p5p/2n2Qp1/2p2pPk/4pP2/Pb2q2P/3r2BK/1R3R2 w - - 2 30,middlegame,
3r2k1/p4p1p/1p4p1/1P6/P1Q1pq2/7P/6r1/2R2RK1 w - - 0 35,middlegame,
3qr3/p4pkp/8/2Q1p2p/Np1rbP2/1P4P1/PKP5/8 b - - 0 32,middlegame,
rnbqkb1r/ppp1pppp/1n6/8/8/2N5/PPPPNPPP/R1BQKB1R w KQkq - 2 5,opening,B02
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,opening,C11
6k1/1p4p1/1b4p1/3NQn1p/p1P1P2P/7K/8/5q2 w - - 0 38,middlegame,
rnbqkb1r/pppp1ppp/5n2/8/3P4/4PN2/PPP3PP/RNBQKB1R w KQkq - 1 5,opening,A40
6r1/p4p2/2k1bR2/2q5/2p4p/3r3P/6PK/Q5R1 w - - 0 41,middlegame,
rnbqkbnr/1p1p1ppp/4p3/2P5/1p6/8/P1PBPPPP/RN1QKBNR w KQkq - 0 5,opening,A43
6k1/QR1b1rp1/4p2p/3pbp2/7P/6P1/3q1PBK/8 w - - 0 29,middlegame,
rn1qkb1r/p1p2ppp/bp2pn2/3p4/2PP1B2/4PN2/PP3PPP/RN1QKB1R w KQkq - 0 6,opening,E12
rn2nrk1/pp3p1p/4p1p1/b1p5/2P5/B3PBP1/5P1P/1R1R2K1 w - - 0 17,middlegame,
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 5,opening,C25
rnbqkb1r/pp3ppp/2p1pn2/1B1p4/3P4/4PN2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,D05
4r1k1/p6p/8/3n2pr/2N5/2P3P1/PP1B3P/4RRK1 b - - 0 29,middlegame,
5k2/7R/3n2p1/5p2/1P1B4/P1K2P2/6PP/3r4 b - - 0 35,middlegame,
r1bqk1nr/1ppp1pp1/p1n4p/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 0 6,opening,C53
3rr1k1/Q4ppp/5b2/7q/8/2N1B3/PP3PPP/R4RK1 w - - 1 20,middlegame,
8/p7/1p5p/7P/1Nk5/PR4B1/5PK1/8 b - - 0 50,middlegame,
8/8/5p1k/p1p2P1p/4K2P/n5P1/1p6/8 w - - 0 65,endgame,
8/8/4pp2/4p2p/p6P/2k1PNP1/5P2/1K6 w - - 0 33,endgame,
r7/1p1k1ppp/1p2p3/3p1P2/3n4/2P5/6PP/1N2R1K1 w - - 0 21,middlegame,
rn2k2r/ppp1bppp/4p3/5P2/1PpPP1P1/5B2/P2B1K1N/8 b kq - 0 20,middlegame,
r1b3nr/ppp3k1/2Pq2pp/8/2QN4/8/PPP2PPP/RNB1K2R w KQ - 1 12,middlegame,
r1b2k1r/1p3ppp/8/pBbpP1q1/8/2P5/P2B2PP/RN2K2n w Q - 0 15,middlegame,
8/7k/7R/5N1P/4n3/8/6PK/8 b - - 0 46,endgame,
6b1/2Q1N1bk/5pp1/7p/8/4q3/6PK/8 b - - 1 45,middlegame,
rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/P4N2/1PP1PPPP/RNBQKB1R w KQkq - 2 4,opening,D00
8/8/1pNp4/3P1kpp/P7/8/1P2K3/8 w - - 0 31,endgame,
2r3k1/6p1/pBP1r3/1P4p1/P7/5R1K/6PP/2R5 b - - 0 32,middlegame,
r1bqkb1r/pp1p1ppp/2n1pn2/8/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 2 6,opening,B32
3r3k/2p1qp2/pp2p1p1/8/1P1rN1P1/P4B2/4Q3/6K1 w - - 0 35,middlegame,
8/6k1/6p1/8/2QP3P/2P5/5rPK/8 b - - 0 44,middlegame,
2kr3r/ppp1n1pp/5p2/4p3/2P5/1P6/PBb1BPPP/2b2K1R w - - 0 18,middlegame,
r1bqkbnr/ppp3pp/2n2p2/3pp3/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,opening,D02
rnbqkb1r/ppp1pppp/5n2/8/8/2N5/PPPPBPPP/R1BQK1NR w KQkq - 4 5,opening,B01
4k3/6pp/Q3p2B/2PpP3/P5P1/6KP/1P6/q7 b - - 0 30,middlegame,
rnb1k2r/pppp1pp1/4pq1p/8/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,opening,E30
r1b1r1k1/pp4bp/1np3p1/4p1BP/1q6/2n2NP1/P3QPB1/3RR1K1 w - - 1 21,middlegame,
r1bq1rk1/6b1/pp2p1pp/2pp4/P7/1B1P3N/1PPnQ2P/R2K3R w - - 0 20,middlegame,
r3r1k1/1p3p1p/6p1/pP1pbn2/2P2q2/BQ5P/6P1/3RR2K w - - 0 27,middlegame,
8/1pkb2pp/5p2/2B5/2p5/2n1K2P/5PP1/8 w - - 0 28,middlegame,
rnbqkb1r/ppp2ppp/5n2/4p3/2Pp4/2N1P1P1/PP1P1P1P/R1BQKBNR w KQkq - 0 5,opening,A22
r3kb1r/pppqpppp/2n2n2/3p1b2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 3 6,opening,D02
r1bqkb1r/pp1n1ppp/3p1n2/1BpPp3/P3P3/8/1PP2PPP/RNBQK1NR w KQkq - 1 6,opening,A44
r1kn3r/pp1NpQpp/3p1n2/2p5/4PP2/8/PPPP2PP/RNB1K2R b KQ - 0 12,middlegame,
rnbqkb1r/ppp1p1pp/5n2/3p1p2/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,A02
3rQrk1/pp4pp/8/1PP2N2/P4R2/3n4/2R2PPP/5K2 b - - 0 30,middlegame,
2kr2r1/pb3p1p/2nN1p2/1q2p3/1P6/P2PP1N1/5PPP/2RQKB1R b K - 0 18,middlegame,
8/R6p/5pp1/p3p3/6k1/8/r4PK1/8 w - - 0 43,middlegame,
1B2k2r/p2nb1pp/Bp6/n2p1p2/3P4/1PP2P1N/PK4PP/RN5R b k - 0 18,middlegame,
2n5/6k1/2p1p1p1/2r1PpPp/5P1P/3K4/8/8 b - - 1 49,middlegame,
2r3r1/1b2kp1p/pp1p1pp1/8/q3P3/3P1PK1/P3R1PP/7R w - - 0 26,middlegame,
rnb1kb1r/pp2pppp/2pp1n2/q7/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,A53
2b5/8/8/5p1K/5k1P/8/4p3/6N1 b - - 0 55,endgame,
1R6/8/P7/8/2p5/8/2kn2PP/6K1 w - - 0 50,endgame,
r1bqkbnr/ppp2ppp/2np4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,C62
8/6bk/p1p4p/P1P4P/K1p5/N5p1/8/1q6 w - - 0 43,middlegame,
N4k2/1p2bp1p/p1qp1p2/4p3/4P3/1BK1Q3/1P3P1P/6r1 w - - 2 28,middlegame,
r6r/1p3kp1/1q1bpp2/p2p3p/P7/4N2Q/1P3PPP/R1nR1K2 w - - 0 22,middlegame,
rnbqkbnr/pp3ppp/8/2pp4/8/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 6,opening,C00
8/1p6/1N6/1P1p2k1/P2P1np1/4K3/8/8 w - - 0 62,endgame,
3r1rk1/1Bp2ppp/6n1/bPP5/3B1Pn1/PQ2P1Pq/R6P/1N3RK1 w - - 1 25,middlegame,
4k3/3b1r1p/p1n1pB1R/3pPp2/P1pP1K1Q/2p5/5rqP/RB6 w - - 2 41,middlegame,
6k1/5pp1/p3p2p/4b3/2p5/8/5K2/8 w - - 0 51,endgame,
7k/pp5p/6p1/8/3bP3/PP6/8/K7 w - - 1 45,endgame,
r5k1/ppp2p2/1bn3p1/6B1/7Q/2q2N1P/P1r5/R4R1K w - - 0 27,middlegame,
4r1k1/ppq1r1pp/2p1R3/8/8/2P3P1/PP1B1PBP/4RQK1 b - - 0 22,middlegame,
rnbqk2r/pp2bppp/3ppn2/2p5/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq - 1 6,opening,B40
R7/2pr1p2/1p3Kp1/p7/6p1/2k2P2/2P4P/8 w - - 0 52,middlegame,
7k/8/8/2p5/1b4B1/4P1P1/3r1PKP/1R6 w - - 1 43,middlegame,
rnbqk1nr/ppp2ppp/8/4P3/1bPp4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 5,opening,D08
2r4k/5pp1/p3p1p1/1p1p3P/6P1/q1r2P2/3Q2K1/2R2R2 w - - 0 34,middlegame,
r2qk3/1p3pp1/2n3p1/1B3p2/p2p4/P7/1PPQ1bP1/2KR1N2 b q - 1 20,middlegame,
r1bqk2r/pppp1ppp/2n3n1/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 3 6,opening,C60
rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,opening,C23
8/8/8/6r1/pk6/3K3R/1P6/8 w - - 0 66,endgame,
rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/6P1/PPP2P1P/RNBQKB1R w KQkq - 0 6,opening,B41
2kr3r/pp1n2p1/2p1B2p/4Q3/4P3/2N5/PPP2PPP/2KR4 b - - 0 19,middlegame,
7Q/p7/1pp1p1p1/5p2/P2k4/4nBP1/3rP3/1K6 b - - 0 38,middlegame,
rnbq1rk1/ppppppbp/5np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQ - 1 5,opening,E60
r1b1k1nr/ppp1qppp/4p3/8/3Pp3/1P1Q1N2/P4PPP/1R3RK1 w kq - 0 14,middlegame,
1r1q1rk1/R1b3pp/4p3/1bPn3Q/3P4/3NP1P1/1B3PBP/5RK1 b - - 0 21,middlegame,
rnbqkb1r/pp2pp1p/2p2p2/8/8/5N2/PPPP1PPP/R1BQKB1R w KQkq - 0 6,opening,B10
4k3/2pp1p2/1p2p3/7N/3P4/pPn5/Pn1q4/K4R1R w - - 2 32,middlegame,
r3k2r/pppq2pp/2nbbp2/4p3/8/P2PBPP1/1P2n1BP/R1Q2R1K b kq - 1 14,middlegame,
r3k2r/1ppbnppp/5nq1/bp2p3/8/2PP1RP1/1B2N1BP/RN1QK3 w Qkq - 0 16,middlegame,
8/4k3/1R6/3Nn3/2p5/8/1P2K3/8 b - - 0 67,endgame,
r3k2r/1p3p2/p1n1p2p/3p2p1/PP1P1n2/2N2Bq1/6P1/1R1Q1R1K b kq - 1 20,middlegame,
6k1/p6p/6P1/2p1pP2/2P5/4BQ2/P4P2/2K5 b - - 0 36,middlegame,
4Q3/pp2n1k1/2p3pp/2P2p2/1P2q2b/P4N1P/6K1/8 b - - 1 45,middlegame,
8/4k2R/1rn1p3/pN2Pp2/P1P2P2/1P2K3/7P/8 b - - 2 49,middlegame,
8/5k2/6b1/5p1p/1r1pp2P/2p3P1/5R2/2R3K1 w - - 0 45,middlegame,
5r2/5rpk/p3p3/1p5Q/8/2P5/bP6/2K3R1 b - - 1 33,middlegame,
8/1p4p1/1P1B3k/8/4P3/7p/4K3/8 b - - 0 43,endgame,
