fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp
rnbqk2r/ppp1ppbp/6p1/3pP3/3Pn3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,B06,78,34,0,0,2,3,53
5nk1/8/4p1p1/3pP1P1/5q2/7B/p1r5/5R1K w - - 0 43,middlegame,,31,14,0,0,0,4,-725
8/1p1q1nkp/6p1/2r1pp2/1R6/6P1/Q4P1P/6K1 w - - 0 33,middlegame,,39,38,0,0,3,4,-619
rnbq1rk1/ppp1ppbp/3p1np1/8/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQ - 0 6,opening,A05,78,35,0,0,4,3,-6
r2q1rk1/1b3p2/p3p3/1pp1b2p/3n1P2/1PNB2pQ/PBPP4/2KR4 w - - 0 20,middlegame,,63,36,0,0,3,3,-217
5r1k/pp5p/2pp4/1P4pn/N1P1p1n1/4P1bP/Pq1P2K1/R5Q1 w - - 0 28,middlegame,,53,24,0,0,2,3,-106
8/p1P5/3K3R/6p1/1p4k1/7p/2r5/8 w - - 1 43,middlegame,,15,17,0,0,2,0,-510
r3k2r/ppp2p2/7p/3Np3/4P1b1/4nn1K/PPP2q2/R2Q1B1R w kq - 0 20,middlegame,,63,0,1,0,2,3,-10000
6k1/5ppp/4b3/8/8/4KPP1/7r/8 w - - 0 49,endgame,,13,6,0,0,2,1,-574
8/5ppk/7p/3Pp3/8/2r2P2/4K3/8 b - - 0 49,endgame,,11,21,0,0,1,1,-565
2r2k2/1p3ppp/1Q1P1b2/2P1P3/8/8/P5PP/3BR1K1 b - - 0 27,middlegame,,35,18,0,0,2,1,893
4r1k1/pp3pbp/4r1pq/3p4/3N4/1N1n3P/P3BK1P/4RR2 w - - 0 28,middlegame,,53,5,1,0,1,3,-884
1r3r1k/p5p1/3PB2P/1p2PP2/2p1K2P/P7/1P6/5R2 b - - 0 33,middlegame,,29,21,0,0,3,0,586
8/p4k2/8/6p1/P1PB4/1PNP3p/1K2R2r/8 b - - 0 46,middlegame,,23,10,0,0,3,0,513
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/1P3N2/P1PP1PPP/RNBQKB1R w KQkq - 0 4,opening,B40,78,30,0,0,3,3,35
4k3/2pp1p2/1p2p3/6qN/3P4/pPn5/Pn6/1K3R1R w - - 0 31,middlegame,,37,2,1,0,1,3,-551
2r1r2k/6pp/p3p3/1p3P2/5B2/P1P5/1KP3PP/3R1B1R b - - 0 19,middlegame,,37,21,0,0,3,1,633
8/pp1kR3/2pp4/8/4P3/8/PPP3PP/6K1 b - - 0 25,middlegame,,15,3,0,1,3,2,489
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 4,opening,C00,78,39,0,0,4,2,92
Q2R3r/1pk1b1pp/2p5/4P3/5P1q/6N1/PPP4P/2K4R b - - 0 21,middlegame,,49,29,0,0,4,1,-30
rn1qkbnr/p1p1pppp/bp6/3p4/5P2/3P1N2/PPP1P1PP/RNBQKB1R w KQkq - 0 4,opening,A02,78,29,0,0,3,2,17
6k1/8/2p5/1pP2p2/1q2p3/8/4KP2/8 w - - 0 56,middlegame,,15,5,0,0,0,3,-556
rnbqkb1r/ppp2pp1/4pn1p/3p4/3P3B/8/PPPNPPPP/R2QKBNR w KQkq - 0 5,opening,D00,78,27,0,0,2,2,17
rnb1k1nr/pppp2pp/8/5p2/8/4B3/PbP1NKPP/RN3B1R b kq - 1 11,middlegame,,55,29,0,0,1,3,-654
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6,opening,C50,78,40,0,0,4,4,36
1r1k1b1q/2p2N2/Q1Bp2pn/1P2pb2/2P5/P2P2P1/3BPP2/2K4R b - - 0 24,middlegame,,57,2,0,1,3,3,741
2k1r3/1Bq1pprp/1p1p1n2/2pP4/P7/2N2N2/1PP1QPPP/R3R1K1 b - - 0 18,middlegame,,63,5,0,1,4,4,614
5r2/Rpr2k1p/1N1R1pp1/2p5/4Pn2/1PB4P/1PP2P1P/6K1 w - - 1 28,middlegame,,41,37,0,0,3,3,651
3r3k/p6p/2p3p1/5p2/2q5/P6P/6P1/4Q2K w - - 0 48,middlegame,,31,26,0,0,2,3,-608
5k2/8/8/2P5/1P6/P3B1p1/2K1Rb2/8 b - - 0 49,middlegame,,15,9,0,0,1,0,645
8/7p/8/2k3P1/2P2p2/1p1KN1P1/1N5P/8 w - - 0 43,endgame,,13,18,0,0,3,2,795
rnb1kb1r/pp2pp2/8/3p2pp/3P4/2NBPP2/PP1KQ3/R5Nq b kq - 1 13,middlegame,,63,31,0,0,4,1,-449
8/7p/4pkp1/1b3p2/1P6/4P1KP/6P1/8 w - - 0 37,endgame,,11,7,0,0,1,3,-479
5rk1/1p3p1p/p4qpQ/3n4/4p1P1/1P2r3/2P4P/2KR3R w - - 0 23,middlegame,,51,28,0,0,2,3,-553
8/5pk1/3p3p/3Pn3/4Pp2/4b1P1/r6P/3K4 w - - 0 55,middlegame,,19,5,0,0,1,2,-997
r2qkb1r/ppp1nppp/2np4/1B2p3/4PPb1/2N2N2/PPPP2PP/R1BQK2R w KQkq - 4 6,opening,C30,78,35,0,0,4,3,54
5Q2/4K3/6k1/4B3/8/5P2/7P/8 b - - 0 62,middlegame,,14,3,0,0,2,0,9997
r3r3/pp3k1p/5p2/8/4p3/P7/1P3P1P/3Rn2K w - - 0 31,middlegame,,27,19,0,0,2,2,-656
4r1k1/ppp3pp/5p2/3p1n2/4q1P1/4P1P1/PP3Q1K/4R3 w - - 0 30,middlegame,,43,25,0,0,1,4,-505
r1bk2r1/1p5p/1N1p4/4pp2/pP1N4/P2PPQ2/2K3q1/8 w - - 0 33,middlegame,,47,8,1,0,3,3,-788
rnbqkbnr/pp2pppp/3p4/2p5/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,opening,A04,78,28,0,0,2,2,57
2r2r2/1p1nq1k1/4p1p1/p3p3/2p1NPP1/8/P1Q1B3/2KR4 w - - 0 26,middlegame,,51,38,0,0,4,3,-286
6k1/1p5p/p5p1/2p1b3/2P1P1P1/5K1P/4n3/8 w - - 0 44,middlegame,,15,6,0,0,2,1,-508
rnbqk2r/ppppppbp/6p1/8/3PnB2/7P/PPP1PPP1/RN1QKBNR w KQkq - 1 5,opening,A45,78,30,0,0,2,2,12
rn1qkb1r/pp2pppp/5n2/3p4/3P2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 6,opening,D13,76,32,0,0,4,2,113
8/p5p1/2P3b1/2P1k2p/4p2P/6N1/P5P1/2R1R1K1 b - - 0 31,middlegame,,25,12,0,0,1,3,1082
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP1P2/4PN2/PP4PP/RNBQKB1R w KQkq - 0 6,opening,A03,78,33,0,0,3,2,13
5r2/1q5k/7p/4P1pQ/1pPpN3/3P2BP/2P5/5R1K b - - 0 41,middlegame,,43,34,0,0,3,2,343
1n3rk1/2Qp2pp/4pP2/1P6/3PBq2/1P3P2/5P1P/4K2R b K - 0 19,middlegame,,45,33,0,0,3,3,-501
3rqrk1/1p2b2p/4N1p1/4P2P/p1PQ4/P5N1/1PR2PP1/6K1 w - - 1 32,middlegame,,53,42,0,0,4,2,417
2kr1b1r/pp1n1pp1/2p5/4P1n1/3P2Q1/6P1/Pq5P/2R2RK1 w - - 0 20,middlegame,,57,36,0,0,3,4,-822
rnbqk1nr/pp1pbppp/4p3/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 1 4,opening,B23,78,32,0,0,3,2,22
6k1/6pp/1p3p2/8/1P3P1P/6P1/1r6/6K1 b - - 0 40,endgame,,13,19,0,0,1,1,-559
r2qkbnr/ppp2ppp/2np4/4p2b/2B1P3/3P1N1P/PPP2PP1/RNBQK2R w KQkq - 1 6,opening,C41,78,39,0,0,4,2,66
r5kb/pbp1np1p/1p1pp1p1/8/4PP2/3B2N1/q1PQ2PP/3K1R1R b - - 1 17,middlegame,,61,46,0,0,3,4,-376
3r2k1/2b3p1/p6p/3p4/8/1BP2pqb/1P1Q4/3RR2K b - - 1 38,middlegame,,49,41,0,0,4,3,-9997
r4rk1/pp1nRp1p/2p1B3/3p4/3P1q2/2P2N2/PPQN1PPP/R5K1 b - - 0 16,middlegame,,63,40,0,0,4,4,770
8/ppkR3p/2p5/8/8/6P1/PPP1PP2/6K1 b - - 0 27,middlegame,,15,4,0,1,2,1,474
6k1/n6p/8/6p1/1bP2r2/1r6/6K1/R7 w - - 0 49,middlegame,,24,17,0,0,1,2,-875
2r2k2/1p3ppp/1Q1P4/2P1P1b1/8/8/P5PP/3BR1K1 w - - 1 28,middlegame,,35,35,0,0,2,0,1156
r3rbk1/pp3p2/2p4Q/3p1Bq1/3P2R1/2N5/PPP2PPP/R5K1 w - - 1 19,middlegame,,59,48,0,0,4,3,9999
rnbqkb1r/pp3ppp/3ppn2/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,opening,A56,78,37,0,0,4,4,55
rnbqkb1r/pp1p1ppp/4pn2/8/3QP3/2N5/PPP2PPP/R1B1KBNR w KQkq - 1 5,opening,C00,76,49,0,0,3,2,49
5rk1/7p/3p2p1/3n4/8/1P4P1/r4b1P/4RK2 w - - 0 30,middlegame,,27,16,0,0,2,2,-1220
rnbqkbnr/ppppp2p/8/5pp1/4P3/5Q2/PPPP1PPP/RNB1KBNR w KQkq - 0 3,opening,B00,78,38,0,0,2,1,9999
rnb1k2N/p1b4p/5np1/1p6/8/1B6/PPPP1PPP/R1B1K2R b KQq - 0 13,middlegame,,47,34,0,0,1,3,371
r5k1/5r1p/4pqpQ/pp1p1p2/3b4/P1P4R/1P4PP/R5K1 w - - 0 27,middlegame,,53,5,1,0,1,4,-468
8/5k1p/p1n1pbp1/1p6/4P3/PP3n2/2K1B1P1/8 w - - 0 41,middlegame,,21,16,0,0,1,3,-583
r7/2k5/4p3/3pP1r1/qPpP1PB1/4b2P/1P2Q3/1K3R1R b - - 0 39,middlegame,,53,45,0,0,1,4,-549
2k5/5Q2/PB5p/4P1p1/1p6/8/6PP/6K1 w - - 0 41,middlegame,,19,40,0,0,2,0,9999
r7/p2k4/1p6/4np2/8/5q1P/P5R1/7K w - - 0 39,middlegame,,27,5,0,0,0,2,-710
Bnb2rk1/p1q2ppp/2p2B2/8/2P5/6P1/PP2PP1P/R2QK2R b KQ - 0 13,middlegame,,57,30,0,0,3,2,245
3nrnk1/1pp3p1/7p/3qP3/8/2B5/6BP/4R2K w - - 0 32,middlegame,,37,22,0,0,4,3,-151
3q2k1/pp4p1/7p/8/8/6P1/3R2K1/8 w - - 0 43,middlegame,,19,20,0,0,2,2,512
rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,opening,A41,78,31,0,0,2,2,56
3q2r1/p4p1k/3r3p/1P5P/5N2/1PB1PpQ1/2PP4/1N2K3 w - - 1 33,middlegame,,47,37,0,0,3,2,241
3r1rk1/p5b1/1p2p1B1/4P2p/2P2P1P/1P2q1P1/PBQ3K1/3R4 w - - 1 29,middlegame,,53,45,0,0,4,4,485
r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,opening,C50,78,38,0,0,4,4,33
3q3k/4r3/p6P/2P2Q2/P2R1Pp1/1P2p1P1/4K3/7R b - - 0 42,middlegame,,42,26,0,0,3,4,825
8/6pk/2r4p/4RP1P/7P/r3B1K1/5P2/5R2 b - - 2 38,middlegame,,29,28,0,0,3,0,472
r2Q1r1k/1p4bp/p1n3p1/4Pb2/4RN2/5N1P/PP3PP1/R1B3K1 b - - 0 18,middlegame,,57,31,0,0,3,3,107
r2q1r1k/p1pp2pp/2b5/2p2pPQ/2B4n/2N5/PP4P1/R3R1K1 b - - 1 19,middlegame,,61,29,0,0,3,3,-393
6k1/ppp3p1/2n3rp/3p4/3Pp3/2P1r2q/PP3QP1/R4RK1 b - - 1 27,middlegame,,53,39,0,0,2,3,-642
r4rk1/pp4p1/8/2p3qp/3PN3/3QRPP1/PP4BP/R5K1 b - - 0 25,middlegame,,55,37,0,0,3,3,710
r1b5/p4rk1/3R4/PR1N4/3Pp1pN/4PnP1/5P1P/5K2 w - - 1 33,middlegame,,41,32,0,0,3,2,317
3r1rk1/pp1Q1bpp/1qp2p2/3N4/3P2PP/1B3P2/PPPB4/2KR3R b - - 0 19,middlegame,,63,29,0,0,3,3,517
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,A43,78,33,0,0,2,3,17
5rkr/4RN2/p5p1/2p4p/2Pb1PP1/8/PP4KP/R1B5 b - - 0 28,middlegame,,39,22,0,0,3,2,170
r1b2r1k/pp6/2p1p2Q/3qN3/3P4/2P5/PP3PPP/R4RK1 b - - 0 21,middlegame,,55,1,0,1,2,4,737
2r3k1/5pp1/5q2/8/1P1Q4/2p1P3/Pn3PPP/2R2RK1 b - - 0 29,middlegame,,45,36,0,0,4,2,291
3r1nk1/p1q3r1/1ppR4/3pPQR1/3P4/4P3/PP4PP/1B4K1 b - - 0 30,middlegame,,55,24,0,0,4,2,514
4r1k1/5ppp/1p6/p3B3/8/5p1P/PP4PK/3q4 b - - 1 31,middlegame,,27,38,0,0,1,3,-1677
3r4/pp4pk/2p4p/1R6/2nPP1P1/2P4P/PPKQ4/R7 b - - 0 38,middlegame,,39,30,0,0,3,3,522
8/6k1/2p3p1/p1r5/2P1p3/P1K5/1P6/8 w - - 0 43,endgame,,12,7,0,0,2,2,-571
r5k1/1pb2ppp/pn6/r1n5/1N2b3/4P1q1/PPQ1B1P1/2R2K1R w - - 0 27,middlegame,,65,37,0,0,3,3,-1069
8/6k1/3K2pp/1p2Np2/5P2/6nP/8/q7 b - - 1 51,middlegame,,21,31,0,0,2,3,-684
5r2/p6k/1p3p2/2p2N1P/3Pp3/P1P1N1P1/1P4K1/3R4 b - - 0 41,middlegame,,27,15,0,0,3,2,681
8/3k3P/8/6K1/4B3/6P1/R6r/8 b - - 0 50,middlegame,,15,20,0,0,1,0,517
7r/1b1knBpp/1p6/8/8/8/PP3PPP/R1B2RK1 b - - 0 18,middlegame,,35,31,0,0,1,2,699
6r1/R7/1p4k1/3p1pr1/3P2P1/1PP4P/P3R2K/8 w - - 0 49,middlegame,,29,34,0,0,3,1,9999
r3k3/1p2p3/1q1p2p1/p5B1/P1n3b1/1N2P3/1bP3Q1/1K4R1 b q - 1 21,middlegame,,51,46,0,0,3,2,-524
r1r3k1/pp4p1/4p1p1/1b1pP1p1/8/2P1QN2/q4PP1/2R1R1K1 w - - 0 22,middlegame,,55,27,0,0,3,2,221
r1bqkb1r/ppp2ppp/2np1n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,C55,78,42,0,0,3,4,52
rnbqkb1r/ppppp2p/5np1/5p2/3P4/2N1P3/PPP2PPP/R1BQKBNR w KQkq - 0 4,opening,A80,78,36,0,0,4,2,53
8/pppk2p1/7p/4pN2/8/3PB3/1r4KP/8 w - - 0 27,middlegame,,19,8,1,0,2,1,-483
2r1k2r/pQ1B1ppp/3q4/2bP2n1/4p3/2N5/PP1P1PPP/R1BK3R b k - 0 18,middlegame,,65,4,0,1,2,4,331
1k2r3/2Q2ppp/2R5/3Bp2b/4P3/8/PP3PPP/6K1 b - - 2 29,middlegame,,35,1,0,1,3,2,9999
1r3k1r/4q1b1/ppB1p1Q1/3P3p/5PnP/2N3P1/PP6/R1B2RK1 b - - 0 22,middlegame,,63,38,0,0,3,3,319
8/8/1p2k2p/p1p2p1P/4RK2/7P/P7/8 b - - 0 46,endgame,,13,6,0,1,3,4,-541
8/3kN2p/2rp1p2/P7/2p1P2P/2Bn2P1/1PKR4/3R4 b - - 0 36,middlegame,,33,22,0,0,3,1,680
1k6/pp3p2/4p1p1/3n2P1/3P1r2/2q5/3KQR2/2B5 w - - 0 36,middlegame,,41,1,1,0,2,3,-757
2n2rk1/4q2p/3B1p2/6p1/8/3Q2P1/PP2PP1P/2R3K1 b - - 0 25,middlegame,,43,27,0,0,4,2,25
8/2B5/8/PK1k4/3PpPpp/3n3P/5PP1/8 b - - 0 44,middlegame,,15,13,0,0,1,3,410
7r/3pk1p1/pp6/3bppq1/3nP3/5BN1/PP3QK1/R7 w - - 0 27,middlegame,,49,27,0,0,3,2,-468
r7/1kb5/4B1p1/p2n2Q1/1qN5/1P4P1/P1n2P1P/R3R1K1 w - - 1 29,middlegame,,55,52,0,0,3,2,951
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq - 2 5,opening,C00,78,30,0,0,2,3,0
rnbqk2r/pp2bppp/3ppn2/2p5/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 w kq - 2 6,opening,B50,78,30,0,0,4,4,5
1r3rk1/3q4/Q2P2pn/4R3/4P1Pp/2p4P/PPP5/1K4R1 b - - 0 26,middlegame,,51,46,0,0,2,0,-310
rnb1kbnr/ppp2ppp/8/3pP3/4P2q/8/PPPP2PP/RNBQKBNR w KQkq - 1 4,opening,C31,77,2,1,0,1,1,-425
rn1qkb1r/pbp1pp1p/1p1p1np1/8/3PP3/3B1P2/PPP1N1PP/RNBQK2R w KQkq - 0 6,opening,B00,78,35,0,0,4,3,86
8/8/p5R1/k1nr1P1P/1p6/7P/PPP5/2K5 w - - 1 34,middlegame,,21,23,0,0,0,3,90
8/8/8/1P5p/2PK3R/6k1/8/8 w - - 0 65,endgame,,8,16,0,0,4,0,3665
2r5/2rk1p2/R1N1p1pp/1P2P3/P1nN3P/5P2/1P4P1/1K6 b - - 0 33,middlegame,,35,23,0,0,3,2,311
8/pp3R2/7r/8/5k1p/2B4P/PPP3P1/7K b - - 2 40,middlegame,,21,5,0,1,2,2,642
8/8/4R3/4Bp1p/2pPp2P/2P1P1Pk/1P1n1K2/8 w - - 1 41,middlegame,,21,23,0,0,2,1,603
rnbqkbnr/ppp2ppp/8/8/2p1pP2/8/PPPPP1PP/RNBQKB1R w KQkq - 0 5,opening,A02,75,17,0,0,1,2,-537
8/8/p7/r4kp1/6n1/4K3/8/2R5 w - - 0 43,middlegame,,15,5,1,0,2,3,-621
r1b3nr/pppp1kpp/8/2b5/8/3P1P2/PPP3KP/RNB1q3 b - - 0 12,middlegame,,51,50,0,0,1,3,-9998
5Q2/8/8/3QK3/8/8/1k6/3B4 b - - 0 65,middlegame,,21,4,0,0,4,0,9998
r4rk1/p3ppbp/1p4p1/n2PP3/8/3b1N1P/P5P1/3Q1RK1 w - - 0 21,middlegame,,47,28,0,0,2,2,155
rnbq1rk1/ppppp1bp/5np1/3P1p2/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQ - 1 6,opening,A85,78,36,0,0,4,2,32
1r3r2/p7/1P1p1k2/1Pp1pBb1/2P2pPp/1N1P1K1P/3BPP2/R7 b - - 0 31,middlegame,,41,21,0,0,3,2,511
8/p7/1kpR4/8/P2K4/5p2/5P2/8 w - - 0 42,endgame,,10,15,0,0,4,1,675
5rk1/1p1q1pbp/1pn3p1/2p1p3/2bpP3/4P1P1/1BP2PBP/r1NQR1K1 w - - 0 18,middlegame,,65,29,0,0,3,3,-415
8/3P4/q7/8/3k4/8/KP6/8 w - - 0 59,endgame,,11,2,1,0,0,3,-714
6Q1/kP6/P7/5K2/7P/2b5/8/8 b - - 0 86,middlegame,,15,13,0,0,3,2,9996
8/5p2/p4P2/3k4/2p2P1P/3p4/P4n2/2K5 b - - 1 42,endgame,,11,14,0,0,1,3,-731
rnb1knr1/pp2qp2/4p2Q/2PpP3/8/2P2N2/PP3PPP/RBB2RK1 b - - 0 17,middlegame,,69,31,0,0,3,2,463
8/p5k1/1pQp1r1p/1Pp1p1pB/r1P5/7P/6P1/7K w - - 0 35,middlegame,,33,24,0,0,2,2,520
4r3/1K6/p4k1p/P3R1p1/6P1/4RP2/P6P/8 b - - 0 43,middlegame,,23,14,0,0,3,1,603
4r1k1/ppb5/2p3q1/6Pp/2p4P/8/P1Q5/6RK b - - 1 40,middlegame,,39,44,0,0,1,3,-9996
rn1qkb1r/ppp1pppp/5n2/3p3b/3P4/4PN1P/PPP2PP1/RNBQKB1R w KQkq - 1 5,opening,D04,78,32,0,0,2,2,44
6k1/p7/1p2p2p/4qp2/1Q1R1p2/Pb5P/1P4PK/2r5 w - - 0 35,middlegame,,41,27,0,0,3,3,-496
8/1kp1R3/1p4R1/8/6P1/p1P5/PP6/K7 b - - 1 44,middlegame,,17,7,0,0,3,0,947
r4rk1/1pp1ppbp/p2p2p1/8/2PnP1n1/P1NB1P2/1P4q1/R1B1NRK1 w - - 0 16,middlegame,,63,2,1,0,2,2,41
5k2/8/2B1b3/1pPp2P1/1P1P2p1/8/5K2/8 b - - 0 55,endgame,,13,10,0,0,2,2,422
rnbqkbnr/ppp1p2p/3p2p1/5p2/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,opening,A04,78,31,0,0,2,2,39
3q4/6k1/ppppRbP1/3P3Q/2P5/1P3N1P/P5K1/8 b - - 0 38,middlegame,,39,24,0,0,4,3,778
rnbqkbnr/pp1ppp1p/6p1/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,B34,77,37,0,0,3,0,80
r1bqk1nr/ppp2ppp/2n1p3/3p4/1b1PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 4 5,opening,C15,78,33,0,0,3,4,57
8/6R1/2K4p/5P2/6P1/7k/8/3r4 b - - 0 70,endgame,,13,19,0,0,1,2,65
rnbqkb1r/ppp2ppp/8/3np3/8/2NP4/PPP2PPP/R1BQKBNR w KQkq - 0 5,opening,C26,76,34,0,0,2,2,-32
5r2/ppkb4/2p4p/2P2p2/P2P3b/2PB3R/1K3r2/8 w - - 0 33,middlegame,,33,7,1,0,3,2,-800
8/2k5/1p1p3P/pP1P4/P2p4/6p1/6P1/6K1 w - - 0 49,endgame,,10,3,0,0,0,1,479
8/7p/pk3p2/2BP2p1/2P5/1P1K4/6PP/8 b - - 0 47,endgame,,12,4,0,1,3,1,419
rnbqk1nr/pp3ppp/4p3/3P4/1b1p4/2N5/PPP1NPPP/R1BQKB1R w KQkq - 0 6,opening,C15,76,26,0,0,3,1,238
8/5R1k/2p5/2n5/1pP5/1P2P1P1/7P/6K1 b - - 0 36,middlegame,,15,4,0,1,2,2,475
8/8/p5pp/2k1N3/8/6P1/P4PKP/8 b - - 1 40,endgame,,10,9,0,0,0,2,491
8/6pp/2N5/p1p2p2/2B5/2K4k/P4r2/8 w - - 0 40,middlegame,,17,22,0,0,3,2,-435
r3k2r/pR2ppbp/3pb1p1/1q4P1/3P3P/4P3/P7/3Q1RK1 w kq - 0 19,middlegame,,55,36,0,0,2,3,255
8/7p/3k1pp1/5b2/p5KP/1r4P1/R7/8 w - - 0 46,middlegame,,19,1,1,0,0,3,-627
8/1kpK3p/pp6/2r4r/8/8/P1PR4/8 w - - 2 39,middlegame,,21,17,0,0,2,2,-686
7k/6p1/1rp1bp1p/r3p2P/4P3/8/2R3P1/2R4K w - - 0 38,middlegame,,31,19,0,0,1,3,-547
5rk1/2B2pp1/1rp5/2bQ4/R5p1/1P1PP1P1/2P2P1P/R5K1 b - - 0 25,middlegame,,46,22,0,0,3,2,672
2r5/7R/2b3p1/1p4k1/4P1N1/1B5P/PP4PK/8 b - - 0 35,middlegame,,26,16,0,0,2,2,659
r4k2/3qn3/2bp3Q/npp5/4PP2/3P1NN1/1PP3PP/5R1K b - - 0 27,middlegame,,53,3,0,1,4,4,751
8/5pp1/3k4/4p1Pp/3p3P/2KP1P2/8/8 w - - 0 34,endgame,,9,6,1,0,2,3,-392
r2k4/2q5/2p1p1Q1/p1P5/Pp1P4/4P2P/1B5P/5RK1 b - - 0 30,middlegame,,41,24,0,0,3,2,659
rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,C11,77,40,0,0,3,3,62
rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQ - 2 6,opening,B08,78,44,0,0,4,3,52
8/5Q1p/p4bpk/3B4/P3P3/1P4P1/2q2PKP/8 w - - 1 35,middlegame,,33,29,0,0,2,3,712
4r3/p7/1p1p1kp1/2pP1p2/2n2Rp1/P1P5/2B3P1/6K1 b - - 1 40,middlegame,,27,30,0,0,2,3,-603
8/7p/1p2k1p1/1np2p2/2P2P2/3K2P1/P6P/8 w - - 0 36,endgame,,13,10,0,0,4,4,-79
4R3/kp6/4R3/P6p/P2p4/3P1rp1/2P2P1P/6K1 b - - 0 36,middlegame,,25,14,0,0,2,0,549
r1b2rk1/p1p2ppp/2p2n2/2b5/P7/6P1/4PP1P/RNBq1RK1 w - - 0 14,middlegame,,55,22,0,0,0,3,-567
5r1k/p4B2/5Q1p/2P5/3b1N2/6P1/6PK/3R4 b - - 0 35,middlegame,,33,2,0,1,3,1,609
1n2r1k1/4B1bp/1R4p1/1Bp1pb2/2Pp4/3P2P1/1P2PP1P/4K1NR b K - 0 20,middlegame,,45,24,0,0,2,3,596
r5k1/2b3pp/8/1P4B1/4R3/3p1N2/1P3PPP/6K1 b - - 0 30,middlegame,,27,28,0,0,2,1,514
6k1/ppp2pp1/2b1r3/4P3/2pR2pn/8/PB3PP1/4R1K1 b - - 1 25,middlegame,,35,32,0,0,4,3,-330
8/5k1p/p1n1pbp1/1p2n3/4P3/PP6/4B1P1/1K6 w - - 2 42,middlegame,,21,17,0,0,1,3,-658
6k1/p4p1p/1p1p2p1/8/1P1p1r2/P2P2q1/5QB1/4RK2 w - - 0 36,middlegame,,41,25,0,0,4,3,-528
rnbqkb1r/ppp1n1pp/3pp3/5p2/3P4/1P3N2/PBP1PPPP/RN1QKB1R w KQkq - 0 5,opening,A41,78,28,0,0,2,3,100
8/p4r1k/1p4n1/P7/8/5N2/1PPQ2PP/6K1 w - - 1 38,middlegame,,27,35,0,0,3,1,702
1r5k/2R5/2Pp4/3Pp3/P3Pp2/1p3P2/PN5r/1K3R2 w - - 0 42,middlegame,,33,22,0,0,2,2,620
k7/1p4pp/p4p2/2q1p3/P3N3/5P1P/3r2PK/8 w - - 0 37,middlegame,,27,13,0,0,1,3,-474
8/b4p2/8/1p6/1P3kPP/P2B4/R5K1/8 b - - 0 39,middlegame,,17,12,0,0,1,3,610
2Q5/8/3K2kP/8/p7/P3B3/8/8 w - - 1 56,middlegame,,15,40,0,0,3,0,9998
rnbqk2r/pp3ppp/2p1pn2/3p4/1b1P1B2/2NQ4/PPP1PPPP/2KR1BNR w kq - 0 6,opening,D01,78,42,0,0,4,2,22
r1b4Q/pp1kn2p/1q1pp3/4n3/4PN2/3B4/PPPB1PP1/R3K1NR b KQ - 0 16,middlegame,,65,33,0,0,3,3,650
4k3/1b1q1rBQ/6R1/1p1p1p2/1PpP3P/2P3P1/2B3PK/8 b - - 0 32,middlegame,,47,18,0,0,3,2,656
r3kb1r/pp2pppp/1q3n2/8/8/B4N2/P4PPP/RN1Q1bK1 w kq - 0 15,middlegame,,61,34,0,0,3,3,-467
3rr1k1/pp3RB1/2q4Q/2p5/8/P5PP/1PP4K/5R2 b - - 0 30,middlegame,,49,40,0,0,2,4,566
8/5p1k/2p3p1/3b4/1p6/7P/2p5/5K2 w - - 0 45,endgame,,9,5,0,0,0,2,-1229
8/5ppk/6p1/8/1P6/2P3rP/6PK/8 w - - 0 38,endgame,,12,6,0,0,1,0,482
