fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
2kr3r/2p1b3/1p1p1n2/p3p3/P1N5/1PBP4/2P2Qpq/R4K2 w - - 0 26,middlegame,,55,3,1,0,3,4,-752,f2g2
rnbqk2r/pp1pppbp/2p2np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 5,opening,B06,78,37,0,0,4,2,89,h2h3
1q2r3/5Q1p/6pk/3P4/2P5/1P3R2/r4PP1/3R2K1 w - - 1 30,middlegame,,45,38,0,0,2,2,655,f3h3
8/5kp1/5b2/1p4r1/p3R3/P7/6KP/2r5 w - - 0 49,middlegame,,23,4,1,0,2,3,-838,g2f3
r7/3pkp2/2b1p1p1/1BP4p/1P2P3/r1NRKP2/P2R2PP/8 b - - 0 29,middlegame,,41,33,0,0,3,2,577,a3c3
rnbqkbnr/pp2pppp/3p4/2p5/4P3/8/PPPPNPPP/RNBQKB1R w KQkq - 0 3,opening,B99,78,23,0,0,2,2,21,d2d4
1rb1r1k1/3q1pP1/p3p2B/3p4/3P4/2N5/PP3PPP/R2QK2R b KQ - 0 17,middlegame,,58,25,0,0,4,2,516,e6e5
8/7p/p1R5/5p1p/PP6/2k3P1/4K3/8 b - - 0 36,endgame,,12,4,0,1,0,2,512,c3b2
rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 5,opening,D02,78,33,0,0,2,3,10,e2e3
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/4BP2/PPP1N1PP/RN1QKB1R w KQkq - 2 6,opening,B07,78,34,0,0,4,3,47,d1d2
1r6/1ppq1b1k/p4bBp/3P4/2P4N/P3B1PP/1PQ4K/4R3 b - - 0 30,middlegame,,53,4,0,1,3,3,642,h7g7
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP2/P4N2/1PPP2PP/RNBQK2R w KQkq - 1 6,opening,B21,78,36,0,0,3,2,-8,b1c3
r1b2rk1/pp4pp/2p5/3p4/P2P1Pn1/1PK1p1P1/1B3q2/R2QR3 w - - 0 24,middlegame,,59,24,0,0,2,3,-723,e1f1
3Q2k1/p6p/1p4p1/4N3/3P4/6P1/P4P1P/4qBK1 b - - 0 32,middlegame,,33,1,0,1,3,2,9997,g8g7
q4rk1/Q1R2pbp/4p1p1/B1NpP3/P2P1P2/1P6/6PP/6K1 b - - 0 33,middlegame,,49,21,0,0,2,3,620,a8a7
8/p5pp/8/2p3k1/2P3P1/7K/P7/7R w - - 0 51,endgame,,12,13,0,0,1,1,495,h1f1
1k1r3r/8/Pp1N4/3PpP2/2P3p1/4Q1P1/2B2KP1/q7 b - - 0 35,middlegame,,43,36,0,0,4,2,-380,d8d6
rnbqkb1r/ppp2ppp/5n2/4p3/4P3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 5,opening,B07,76,36,0,0,2,3,20,g1f3
rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,opening,A34,78,26,0,0,2,3,17,g1f3
