fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
rnb1kbnr/pppp2pp/5q2/5P2/3Np3/8/PPPP1PPP/RNBQKB1R w KQkq - 2 5,opening,C40,77,32,0,0,0,2,51,d4b5
r1b2B1k/1p1p1Bb1/p5p1/8/8/2P4P/P1PK1PP1/R6R b - - 0 17,middlegame,,37,15,0,0,2,2,539,g7f8
r2qk2r/pbp1b1pp/1p2Q3/n2B4/3P4/P1N2N2/1PP2PPP/R1B1K2R b KQkq - 0 11,middlegame,,71,25,0,0,4,1,732,d8d7
8/8/8/1K3Qpp/5p2/5k1P/8/8 w - - 0 71,endgame,,13,27,0,0,3,1,381,f5g5
7r/3r2q1/2p5/3pbk1p/5pp1/P2Q4/2P2P2/1K1RR3 b - - 1 42,middlegame,,49,3,0,1,4,4,-637,f5g5
r4r1k/4b1pp/2p5/3p4/1P1NPq2/PQ5P/1B3PP1/R3R1K1 b - - 0 22,middlegame,,57,50,0,0,3,3,536,f4f2
2r2k2/pp3p1p/8/8/4N3/2P3R1/1P3NPP/K2R4 b - - 0 27,middlegame,,29,19,0,0,3,0,1032,f8e7
r1bqkbnr/ppp2pp1/2np3p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 5,opening,C41,78,36,0,0,4,2,73,d2d4
rnbqkb1r/ppp2ppp/5n2/3Pp3/8/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 4,opening,A00,77,33,0,0,1,3,2,g1f3
8/8/1R1p4/1P2k3/2P4r/3K4/8/8 b - - 0 59,endgame,,13,17,0,0,3,4,36,h4h3
r6r/ppkBn1pp/8/2N1P3/1n6/8/PPP3PP/2KR2NR w - - 1 16,middlegame,,45,38,0,0,3,1,591,c5e6
q3k2r/2p3pp/pb1p1p2/1p2n3/1P1pb2B/PQ5P/2P2PP1/R3R1K1 b k - 1 20,middlegame,,59,43,0,0,2,4,-621,e4d5
4rr1k/pp4p1/8/4p1qp/3pb3/6PQ/PP3P2/4RRK1 w - - 0 25,middlegame,,51,25,0,0,1,3,-285,e1e4
2r5/4p1k1/p1p1Ppp1/3p4/b2q3P/6Q1/P5P1/2R4K b - - 0 34,middlegame,,41,40,0,0,1,3,-631,c8h8
r1bqkbnr/1p2pppp/p1np4/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,opening,B30,78,35,0,0,3,2,73,d2d4
rnbqkbnr/pppp1ppp/4p3/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,opening,C00,78,27,0,0,1,1,18,g2g3
rnb1k2r/pppp1p1p/7p/4P3/2q1P3/2P2Q2/PP1N1R2/R3K3 b Qkq - 1 15,middlegame,,59,35,0,0,3,3,-315,c4e6
r1bqkbnr/pp1ppppp/2n5/8/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,opening,B21,75,45,0,0,3,2,-46,g1f3
4k3/7K/2p2q2/p1P5/P7/8/8/8 b - - 0 56,endgame,,13,27,0,0,0,3,-3694,f6g5
8/2r4k/Q1p1q3/3pPpN1/3P4/8/PP4PP/6K1 b - - 0 37,middlegame,,35,5,0,1,2,3,583,h7h6
r1b4r/1p1pkppp/p2Npn2/q7/2n5/4B3/PP2QPPP/2RR2K1 w - - 0 18,middlegame,,65,48,0,0,3,3,424,e2c4
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,opening,A00,78,21,0,0,0,2,7,g1f3
8/8/8/4b3/2p5/1kq3p1/3K4/8 w - - 2 78,middlegame,,14,2,1,0,0,2,-9998,d2e2
8/4kpp1/8/3PP3/3P1P1P/8/3K4/r7 b - - 0 44,endgame,,12,22,0,0,1,0,-389,a1a3
r1bqkb1r/p1p2ppp/2pp1n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 6,opening,C48,72,27,0,0,4,4,41,d2d4
7k/6p1/7p/8/1P1K4/6p1/P7/8 w - - 0 49,endgame,,5,11,0,0,3,0,253,d4e3
8/4k3/1pQ2pp1/8/5b2/8/Pp5r/1K3R2 w - - 0 40,middlegame,,27,32,0,0,2,1,628,f1f4
8/8/1k6/1pp1Bn1p/p3BPp1/P1K5/8/5n2 w - - 0 45,middlegame,,19,21,0,0,3,1,18,e4f5
5R2/p4pkp/1p3qp1/3Qn3/8/P3B1PP/1P2BP2/4N1K1 b - - 0 31,middlegame,,45,24,0,0,3,1,764,g7f8
4r1k1/p4qp1/1p6/2p3b1/4r3/1P2pQ2/PB2R3/4R1K1 w - - 0 34,middlegame,,51,40,0,0,3,4,-495,f3f7
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 1 4,opening,A40,78,31,0,0,3,2,30,g1f3
r6r/p1k2pp1/1p1b1p1p/2pP4/4N3/2N4P/PP1K2P1/3R1b2 w - - 0 26,middlegame,,39,26,0,0,2,2,-451,d1f1
2k5/pp4pp/4bp2/P1p5/5P2/8/1PP2r1P/6K1 w - - 0 28,middlegame,,19,10,0,0,1,3,-574,g1f2
6k1/p1p3p1/1p2p1q1/8/bKPP1r2/P3R1b1/1P4P1/8 w - - 0 31,middlegame,,35,15,0,0,3,3,-703,b4a4
r1bqkb1r/pp3ppp/2n2n2/2p5/Q1p5/3B1N2/PP4PP/RNB2RK1 w kq - 2 10,middlegame,,73,44,0,0,3,4,-172,d3c4
rnbqk1nr/pp1pppbp/2p3p1/8/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 2 4,opening,B10,78,30,0,0,3,3,71,d2d4
2r2rk1/p3qpbp/3Rb1p1/2N1P3/1p2QB2/1P3N1P/P1P2PP1/4R1K1 b - - 0 24,middlegame,,65,37,0,0,4,2,416,c8c5
r1b5/pp2Q2k/4p1n1/3pP2P/3P2p1/2NB4/PP4PN/2K2R2 b - - 0 27,middlegame,,45,3,0,1,3,3,9995,h7h6
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq - 0 6,opening,B08,78,38,0,0,4,3,73,a2a4
5Q1r/p4ppp/1p3k1n/4p3/2R5/B2B4/P1PP1PPP/4K2R w K - 1 21,middlegame,,45,50,0,0,2,2,9999,f8e7
B6r/p1p1bkpp/4qnb1/3p2B1/Q7/2P1P3/PP1N1PPP/R3K2R b KQ - 0 15,middlegame,,63,46,0,0,3,3,427,h8a8
r1k2b2/p1n1p1p1/1ppqpnQ1/3pN1r1/3P2pP/2P5/PP3P2/R3KN1R w KQ - 0 18,middlegame,,67,43,0,0,3,3,244,g6g5
6k1/8/4p3/5p1R/3P2p1/2rBP3/4KPPP/8 b - - 0 27,middlegame,,21,16,0,0,3,2,502,g8g7
5r2/1pkb4/p1p5/1q2p3/1P6/P6P/2Q3PK/3n4 w - - 0 38,middlegame,,37,26,0,0,1,3,-750,c2d1
r1bqkbnr/ppp3pp/2np4/4pP2/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq - 1 5,opening,C30,77,30,0,0,2,2,112,f4e5
r2qkbnr/pp1bpppp/2np4/1B6/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 2 6,opening,B21,77,44,0,0,3,2,97,c3d4
r1b2rk1/pp2ppbp/2n3p1/3N4/1PP2p2/q4N1P/4QBP1/3RK1R1 b - - 1 18,middlegame,,67,47,0,0,4,2,-495,e7e6
4r1k1/p5bp/1pnq2p1/3p4/8/2PQ2p1/PP3N1P/5RK1 w - - 0 26,middlegame,,47,36,0,0,3,4,-642,d3g3
2r1r1k1/1p4q1/4P1Q1/3P1pNp/2P2R1P/1P6/P5P1/5n1K w - - 1 37,middlegame,,49,29,0,0,3,3,636,g6f7
rnbqkbnr/pp3ppp/4p3/2p5/4p3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq - 0 5,opening,B40,77,34,0,0,2,2,-14,f3e5
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 2 6,opening,A41,78,35,0,0,3,4,69,b1d2
rnbqkb1r/pp3ppp/5n2/3pp3/2B5/P1N5/1PPP1PPP/R1BQK1NR w KQkq - 0 6,opening,C26,76,37,0,0,2,3,-68,c4b5
2b3k1/1p5p/2p1p3/8/5r2/1P6/1b2R1BP/7K w - - 0 29,middlegame,,25,19,0,0,3,4,-363,e2b2
6k1/5p2/2b1p2p/2P3p1/8/4K1P1/5P1P/8 w - - 1 36,endgame,,11,9,0,0,2,2,-460,e3d2
8/7R/3k3p/6p1/8/4PBP1/1r3PKP/8 b - - 2 55,middlegame,,19,17,0,0,3,2,623,d6e5
r7/pp3q1k/7p/2bppb2/8/2P5/PP2Q2P/2K1R3 b - - 1 27,middlegame,,43,49,0,0,3,3,-685,f5g6
8/rp2kp1p/4pp2/P7/3Nb3/1RP5/3Q1K1q/8 w - - 0 25,middlegame,,41,3,1,0,1,2,-518,f2e3
r2qkb1r/pp1bpppp/2n2n2/1B6/8/2N5/PPPP1PPP/R1BQK1NR w KQkq - 2 6,opening,B02,75,34,0,0,2,4,89,g1f3
4r1k1/1p4pp/2p1pn2/2q5/2PNp3/pP1bQ2P/Pb3PP1/3KR3 b - - 1 30,middlegame,,53,44,0,0,3,4,-1065,b2d4
1k1R4/ppp5/4p3/3pN3/3P1P2/2P1P3/PP6/2K5 b - - 0 33,middlegame,,19,0,0,1,3,2,10000,
rnb1kbnr/1pqp1ppp/p3p3/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,B41,76,42,0,0,2,2,44,b1c3
3r1k1r/5pp1/p2b3p/1p6/2p1R3/7P/P4PP1/R5K1 w - - 0 24,middlegame,,33,26,0,0,2,1,-520,e4d4
r2r2k1/p1p2ppp/1p2p3/4P3/6P1/2n3B1/P1b2P1P/4RRK1 w - - 0 21,middlegame,,41,18,0,0,2,3,-625,f2f4
r1bqkbnr/ppnppppp/2p5/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq - 1 4,opening,A40,78,37,0,0,3,1,93,h2h4
r1b1kbnr/1p2pppp/p1n5/4P3/1p1P3P/5Nq1/P3B1P1/R1BQK2R w KQkq - 1 12,middlegame,,71,2,1,0,2,2,-417,e1f1
rnbqkb1r/pp2pppp/3p1n2/8/3pP3/5NP1/PPP2P1P/RNBQKB1R w KQkq - 0 5,opening,B50,77,38,0,0,3,3,-14,d1d4
r2qrbk1/pb5p/1p2p1p1/2p1n3/3P2Q1/2P5/PP1N2P1/R4RK1 w - - 0 22,middlegame,,61,45,0,0,3,3,-626,d4e5
rnbqkbnr/pp2pp1p/3p2p1/8/4PP2/2p2N2/PP4PP/RNBQKB1R w KQkq - 0 6,opening,B21,76,39,0,0,3,1,-42,b1c3
5rk1/4qpp1/2bp1b2/1r3P2/2N1P2P/4BB2/PPQ5/1K1R3R w - - 1 27,middlegame,,61,53,0,0,4,4,410,e3g5
1r3rk1/R2R1pb1/1p2p2p/p1p1P2B/1n3p1P/6P1/1P3B2/6K1 w - - 0 30,middlegame,,43,33,0,0,2,3,149,g3f4
R3R3/2r3kp/p5p1/8/7r/8/P1b5/6K1 b - - 1 41,middlegame,,27,36,0,0,2,2,-628,h4g4
2b2rk1/1p4pp/2p5/3p4/1P3q2/4pN1P/2Q3P1/5R1K w - - 0 28,middlegame,,43,39,0,0,3,4,-478,c2c5
r4r1k/5pp1/pp5p/3pR3/3P2N1/5Q1P/Pq1b1PK1/8 w - - 0 31,middlegame,,49,37,0,0,3,2,-522,e5d5
rnbqkbnr/pp3ppp/4p3/2pp4/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,opening,A04,78,29,0,0,2,3,8,e2e3
6k1/3b1p1p/3p2p1/3P2P1/1p2P3/1P4r1/r2N1n2/3R1K2 w - - 0 40,middlegame,,33,11,0,0,2,2,-742,f1f2
5rk1/1q3pp1/p1p1p2p/2Pp1b2/3b4/1Pn1Q1P1/4PPBP/2R3K1 w - - 0 27,middlegame,,53,32,0,0,4,3,-686,e3c3
6k1/3rr1Pp/8/5Q2/3B4/4P1P1/5P2/6K1 b - - 2 43,middlegame,,27,16,0,0,4,4,617,d7d8
8/pq4pk/8/3p1NQ1/3P4/2P2P2/3r2PP/5RK1 b - - 0 37,middlegame,,39,29,0,0,3,3,652,d2c2
5k2/8/8/2P5/1P6/P7/2K1RBp1/8 b - - 0 50,endgame,,12,7,0,0,3,0,1333,f8f7
2kr4/pppb1p2/3P4/2P1p1p1/P3Pn2/1BN5/2KQ4/5q2 b - - 0 28,middlegame,,45,46,0,0,3,2,-592,f1g2
8/8/3k4/Q7/1R6/2PK4/1P6/8 b - - 2 55,middlegame,,16,4,0,0,4,2,9996,d6d7
7k/1p4p1/2p4p/p1P1N2P/P3n3/1n4r1/8/4K3 w - - 0 44,middlegame,,22,11,0,0,0,2,-884,e5c4
rnbqkbnr/pp3ppp/8/2p1p3/3pP3/3P1N2/PPPN1PPP/R1BQKB1R w KQkq - 0 5,opening,A00,78,23,0,0,4,2,117,f3e5
rn3qk1/4b3/b1ppP2Q/Pp6/1P1B2R1/7P/3N1PP1/5RK1 b - - 0 31,middlegame,,57,2,0,1,3,2,9999,e7g5
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/2PB1N2/PP1P1PPP/RNBQ1RK1 w kq - 0 6,opening,B50,78,28,0,0,4,4,2,d3c2
rn1qkbnr/p3pppp/4b3/3p4/p1p1P3/2N2N2/1P3PPP/R1BQKB1R w KQkq - 0 8,middlegame,,75,43,0,0,4,2,337,e4d5
r1bqkr2/2p1n3/p1p2B2/3pP1NQ/8/8/PPP2KPP/RN5R b q - 0 13,middlegame,,63,3,0,1,2,2,687,e8d7
rnbq1rk1/ppppb1pp/4pn2/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ - 3 6,opening,A95,78,36,0,0,3,2,65,b1c3
r1bqkb1r/1p1p1ppp/p1n1pn2/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,B30,78,39,0,0,4,4,18,c4b3
2r1k2r/1b3ppp/4p3/4n1B1/2BRP1PP/5P2/PPP5/1K5R b k - 0 20,middlegame,,43,28,0,0,2,2,-100,e5c4
rn2nrk1/pp3pbp/6p1/2ppq3/2P1N3/1K3P2/PP2Q2P/R1B4R w - - 0 17,middlegame,,65,36,0,0,2,4,-710,e4c3
R7/2pr1p2/1p3Kp1/p7/6PP/8/2k5/8 b - - 0 53,middlegame,,17,21,0,0,1,2,-366,c2b3
rnb1k1nr/pppp1ppp/5q2/2b1p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,opening,C20,78,43,0,0,2,2,17,g1f3
4k3/p3p2p/1b1r1pp1/8/6K1/3R2PP/P7/8 w - - 2 36,middlegame,,21,16,0,0,2,3,-585,d3d6
rnbq1rk1/ppppppbp/5np1/8/8/1P1P1N2/P1PNPPPP/R1BQKB1R w KQ - 1 5,opening,A04,78,24,0,0,3,2,-46,c1b2
2krR3/p1p3p1/1p1n3p/8/1Q6/P2P2P1/1PPK1PP1/R7 b - - 0 26,middlegame,,39,19,0,0,3,1,521,d8e8
4r3/1p2r1kp/2p3p1/p3p1N1/2q4P/4R1P1/4RP1K/8 b - - 1 37,middlegame,,41,44,0,0,2,4,-639,c4e2
5rk1/2R2ppp/8/2N1P3/3p1B1q/1P5P/rPP3P1/5QK1 b - - 0 24,middlegame,,49,33,0,0,2,0,464,f7f6
rnbqkbnr/p1p1pppp/1p6/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,opening,D06,78,30,0,0,3,2,96,c4d5
r1b5/1p1p1kpp/p2Bp3/q3P3/P2Nn1P1/3P4/7K/R7 w - - 0 24,middlegame,,41,30,0,0,2,2,-757,d4b3
8/pp2N1k1/2p2p2/3p2n1/3P4/2P1r1P1/PP2r1PP/R2Q1RK1 b - - 0 28,middlegame,,47,31,0,0,3,3,530,e3e7
6kr/3pbp2/2p5/p7/4n3/2P5/P1K3P1/4R3 b - - 1 30,middlegame,,23,33,0,0,2,1,-717,d7d5
2n2bk1/8/p5p1/1p4p1/1PpPp3/2B1P1PP/5qK1/8 w - - 0 35,middlegame,,29,2,1,0,2,0,-591,g2f2
r2R2k1/2q2pb1/4bp2/2p4B/6PP/P3PN2/4QP2/4K2R b K - 0 23,middlegame,,53,4,0,1,3,3,0,c7d8
4R3/p2R2pk/5p1p/8/8/5K1P/r5r1/8 b - - 1 49,middlegame,,25,26,0,0,4,1,-527,a2f2
rnbqk2r/ppppbppp/4pn2/6B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 1 5,opening,A46,78,33,0,0,2,2,48,b1d2
8/4kp2/4p2r/5b2/1p3P2/5K2/P7/8 b - - 1 47,endgame,,13,26,0,0,2,2,-938,h6h2
r3r1k1/pp3p1p/2p3p1/8/6q1/2P3PK/PP5P/R7 w - - 0 30,middlegame,,35,2,1,0,1,4,-630,h3g4
4b3/2p3k1/p6p/1p2P2P/4P3/2P2B2/PP2K1P1/4Rr2 b - - 0 32,middlegame,,27,19,0,0,3,0,432,f1e1
8/6k1/p4p2/3P2p1/2Pqr1b1/1P1N4/P2K1RPQ/5B2 b - - 0 46,middlegame,,45,35,0,0,2,4,356,g7g6
k7/5p2/3P4/2Q1p3/2P1P3/1KNq1P2/1P2n3/8 b - - 0 41,middlegame,,31,22,0,0,4,3,387,e2c3
r6r/pb1k3p/1p4p1/3p1p2/2P2B2/5BP1/P7/3R2K1 w - - 0 29,middlegame,,33,35,0,0,4,2,-382,d1d4
r1bqkb1r/1p1npppp/p1p2n2/3p4/2PP4/4PN2/PP1N1PPP/R1BQKB1R w KQkq - 1 6,opening,D11,78,27,0,0,4,3,58,f1d3
2r3Bb/p2pk3/1p3p2/4P1B1/4P3/6P1/PPP5/R2K4 b - - 0 21,middlegame,,29,22,0,0,1,1,-10,f6g5
4r1k1/1R6/p1n1P3/5r1p/2P3pP/P1B5/1P4PN/1K6 b - - 0 34,middlegame,,33,31,0,0,3,3,-234,e8e6
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2P1PN2/PP1N1PPP/R1BQKB1R w KQkq - 1 6,opening,D05,78,31,0,0,3,4,18,f1d3
7b/P2k3P/6P1/1Pp1p3/2P1P3/3K4/8/8 b - - 0 61,endgame,,11,9,0,0,3,2,1030,d7c7
2krr3/pbp2ppp/1p2pn2/P7/2Nq4/8/2B2PPP/R1B1Q1K1 w - - 0 20,middlegame,,59,45,0,0,2,4,-450,a1a4
rn3rk1/p3ppb1/1p3npp/5q2/3R4/2N1B1P1/PP3PbP/R1Q3K1 w - - 0 19,middlegame,,67,42,0,0,3,3,-535,g1g2
5rk1/3q1p1p/5Qp1/3BB3/4P1PP/PP6/8/KR6 b - - 0 40,middlegame,,42,23,0,0,4,1,9999,g6g5
4r1k1/2r4p/2R3p1/p4p1q/3P1P2/4PP1P/P1Q3B1/4B1K1 w - - 1 37,middlegame,,49,43,0,0,3,2,1038,c6c7
4B3/4P2p/6p1/4k3/Pp6/3p4/1P1Q2PP/6K1 b - - 0 45,middlegame,,21,11,0,0,0,3,688,e5d6
r4rk1/1p3p1p/p3p1p1/4QP2/b1qN4/3R4/5KPP/8 w - - 0 24,middlegame,,48,47,0,0,3,2,-551,d3g3
rnb2rk1/1p1p1pbp/p2Pp1p1/8/2B5/4B3/P4PPP/qN1QK2R w K - 0 15,middlegame,,63,46,0,0,2,3,-598,c4e2
r1bqkbnr/1p1ppppp/p1n5/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,B32,76,42,0,0,2,2,54,c2c4
8/pp4pk/n1pbB3/3p4/1P1P4/P1R3pP/1r6/6K1 w - - 0 32,middlegame,,29,22,0,0,2,3,-533,e6c8
r5k1/5r1p/4p1pQ/pp1p1p2/3q4/P6R/1P4PP/R5K1 w - - 0 28,middlegame,,49,4,1,0,0,3,-466,g1f1
r3k2r/pp3ppp/1bnB1n2/4p3/q1B3b1/1Np2N2/P4PPP/R2QR1K1 w kq - 2 16,middlegame,,73,47,0,0,4,4,-330,d6e5
4N3/8/3ppPp1/k3P3/1RR3p1/P7/6P1/6K1 w - - 0 38,middlegame,,21,30,0,0,2,2,1850,c4c8
3r2k1/1p3pp1/p3p3/4p2p/b1P1P3/3p1P2/2q2NPP/1R2Q1K1 w - - 0 26,middlegame,,47,31,0,0,2,2,-563,e1b4
rnbqkb1r/ppp1pppp/5n2/3p4/8/2P2N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,opening,A04,78,23,0,0,2,2,6,d2d4
8/Bp6/5nkp/1N1PQ3/4Pp2/5P1b/PP1K3P/5q2 b - - 2 35,middlegame,,39,33,0,0,3,2,43,f1b5
rnbqkbnr/1pp1pppp/p2p4/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,opening,A41,78,30,0,0,2,1,62,e2e4
rnb2rk1/pp3pbp/4p3/2pPnp2/2P1pB1q/2N3P1/PPQ4P/2KR1B1R b - - 0 14,middlegame,,73,37,0,0,4,4,-534,h4f6
r3kb1r/pp1n1ppp/2p1p3/7P/2P5/P4NN1/2Kn1PP1/5B1R w kq - 0 19,middlegame,,45,26,0,0,4,3,-600,c2d2
r2qkbnr/pbpnpppp/1p1p4/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 2 5,opening,B00,78,39,0,0,3,3,103,d1e2
rnbqk1nr/ppp2ppp/3p4/2b1p3/4P3/3P4/PPP1BPPP/RNBQK1NR w KQkq - 0 4,opening,C20,78,30,0,0,2,2,3,c2c3
r6k/ppp5/3p4/2PBp1Nb/8/2P1P2P/PP1K1R2/R1B2q2 b - - 0 27,middlegame,,47,34,0,0,2,2,-9999,f1d1
rnbqkbnr/pp3ppp/8/2Pp4/4p3/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,A00,77,34,0,0,3,2,-14,f3d2
7k/6pp/1q1p4/p3b3/8/P7/2PQ4/2K5 b - - 1 36,middlegame,,27,32,0,0,2,2,-697,b6g1
b1r3k1/7p/p1N3p1/2R5/4P3/3P2N1/2P3PP/6K1 w - - 1 33,middlegame,,27,31,0,0,4,0,884,c6e7
8/1P4k1/3b4/p1R5/P2pBpP1/3P1K2/1P6/8 b - - 0 47,middlegame,,19,12,0,0,3,1,726,d6c5
3r1rk1/p3bppp/bq2p3/8/8/P1NBPNP1/1P1B1P1P/2RRQ1K1 b - - 0 23,middlegame,,67,43,0,0,4,2,478,d8d3
r3k2r/6b1/2p1P1N1/1p1p2Bp/p2Pn3/2P5/PP4PP/3BRRK1 w - - 1 33,middlegame,,47,42,0,0,3,4,857,e1e4
1r6/R4k2/8/8/5P2/Pp4P1/5K1P/8 b - - 1 38,middlegame,,15,7,0,1,1,0,-300,f7e6
rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B07,78,39,0,0,3,3,107,d1e2
4rN2/pp4k1/2pNbq1p/2Pn4/1P1R4/3Q2P1/P3RPBP/6K1 b - - 0 29,middlegame,,58,41,0,0,4,3,744,e8f8
8/1KB5/P3p1p1/1p5p/3r3k/8/8/8 w - - 0 53,endgame,,13,16,0,0,1,2,-35,c7a5
r2qkb1r/pp2pppp/2n2n2/2pp4/5Pb1/4PN2/PPPPB1PP/RNBQ1RK1 w kq - 5 6,opening,A03,78,29,0,0,2,4,9,b2b3
8/N1b2k2/5p2/2P4p/P1KP1p2/5P1P/6P1/8 w - - 1 46,middlegame,,15,15,0,0,4,1,629,c4d5
1r6/p1q3kp/5p2/4p1pb/3pB3/5PQ1/2P3PK/R7 w - - 0 32,middlegame,,43,35,0,0,3,2,-337,g3h3
4r1k1/pp3p1p/2p1r3/3p1bp1/3P2q1/2P2R2/PP4N1/R4QK1 w - - 2 26,middlegame,,55,29,0,0,2,4,-88,f3f5
rnbqkbnr/2pppppp/p7/1p6/8/1PN5/P1PPPPPP/R1BQKBNR w KQkq - 0 3,opening,A01,78,23,0,0,2,0,-20,g1f3
rnbqkbnr/1pp2ppp/p3p3/3pP3/3P2Q1/2N5/PPP2PPP/R1B1KBNR w KQkq - 2 6,opening,C16,78,47,0,0,4,2,85,g1f3
8/2p5/3p1p2/k2Pp2B/4Pn1K/5P2/8/8 b - - 0 51,endgame,,13,16,0,0,2,3,-159,a5b4
rnbqkb1r/1ppp1ppp/p4n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 4,opening,C26,78,36,0,0,2,3,63,g1f3
8/8/3kpp1Q/8/3P3P/7P/8/1R5K b - - 0 48,middlegame,,19,7,0,0,1,2,3779,f6f5
r4rk1/1p3pbp/3p2p1/p2qp1nP/6P1/4QN2/PP6/R3K2R w - - 0 21,middlegame,,58,41,0,0,3,3,-699,e1f2
8/5pk1/6p1/4p3/p1R4p/7P/5PP1/6K1 b - - 0 45,endgame,,13,11,0,0,2,1,423,a4a3
8/p4p1p/P4bp1/1p6/2p1k3/2P5/rB4KP/1R6 w - - 0 43,middlegame,,25,15,0,0,1,3,-574,g2g3
1r1q3k/3p1Qpp/pp6/5p2/1PRP1P2/P3P1PP/1B5K/4R3 b - - 0 31,middlegame,,49,20,0,0,3,1,783,d8g8
rn3r1k/ppp3p1/5n2/6p1/4pP2/B1P5/2q1Q1PP/3RK2R w K - 0 18,middlegame,,57,42,0,0,4,2,555,e2c2
1rbq1rk1/p1p3bp/1p2p1p1/n2PPpn1/Q4P2/1PN3NP/6B1/R4RK1 w - - 0 20,middlegame,,71,45,0,0,4,3,-307,a1d1
3r2k1/p2rn1pp/1b1NNp2/1P2P3/3P3P/3R2B1/5PP1/3R2K1 b - - 0 33,middlegame,,45,26,0,0,3,3,693,e7d5
rnbqkb1r/ppp3pp/3p1n2/3Pp3/2P1p3/3B4/PP3PPP/RNBQK1NR w KQkq - 0 6,opening,A41,77,37,0,0,2,4,7,d3c2
8/Q6R/4r1k1/6p1/7P/5BP1/3q1PK1/8 w - - 1 39,middlegame,,35,44,0,0,3,4,9999,a7f7
rnbqk1nr/pp2ppbp/3p2p1/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq - 2 6,opening,B22,76,37,0,0,3,2,83,b1c3
1r4k1/6b1/5qn1/p1p3p1/2P1Pp2/Pr1p4/2Q4R/K1B1R3 w - - 0 36,middlegame,,55,5,1,0,2,2,-920,e4e5
3rr1k1/p5pp/4pn2/4N3/7P/P3P1P1/2PKNPB1/7R w - - 1 25,middlegame,,37,7,1,0,3,3,572,d2c1
8/p4kpp/1p5P/2p1p1PK/2Pbn3/1P6/P7/8 w - - 0 37,middlegame,,17,7,0,0,1,2,-699,h6g7
8/8/P2p4/3Pr1bp/8/5KPk/8/8 w - - 0 50,endgame,,13,3,0,0,1,3,-574,f3f2
r7/5pkp/p5p1/2p3Q1/3b2N1/7r/P6P/1R5K b - - 1 34,middlegame,,37,36,0,0,2,2,177,a8e8
r1bqk1nr/ppp1ppbp/2np2p1/8/3PPP2/5N2/PPP3PP/RNBQKB1R w KQkq - 3 5,opening,B06,78,35,0,0,3,2,73,f1e2
8/5Qpk/p1q4p/2pN4/P1PbR3/1P6/5PPP/6K1 w - - 1 44,middlegame,,39,43,0,0,3,3,701,e4e1
8/8/2p1Rnk1/1p4p1/8/1P4P1/6K1/8 b - - 0 55,endgame,,13,9,0,0,2,2,321,c6c5
b2r1r2/R4kbp/3pN1p1/4p3/4P3/2PP1NP1/1P1Q2BP/5RK1 b - - 0 24,middlegame,,54,6,0,1,4,4,1431,d8d7
